dalid	eloadoid	cim	megjelenes
886	354	I Put A Spell On You	1972
887	354	I Heard It Through The Grapevine	1973
888	354	Long As I Can See The Light	1970
889	354	Lookin' Out My Back Door	1970
890	354	Proud Mary	1969
891	354	Suzie Q	1968
892	354	Sweet Hitchhiker	1971
893	354	Travelin' Band	1970
894	354	Up Around The Bend	1970
895	354	Who'll Stop The Rain	1970
896	355	Pied Piper	1966
897	355	You Were On My Mind	1966
898	356	Marrakesh Express	1969
899	356	Suite: Judy Blue Eyes	1969
900	357	Almost Cut My Hair	1970
901	357	Carry On	1970
902	357	Helpless	1970
903	357	Our House	1970
904	357	Teach Your Children	1970
905	358	Better Be Home Soon	1988
906	358	Don't Dream It's Over	1987
907	358	Four Seasons In One Day	1992
908	358	Into Temptation	1989
909	358	Weather With You	1991
910	359	Plage	2011
911	360	Don't It Make My Brown Eyes Blue	1977
912	361	Another Day Another Road	1967
913	361	Appleknockers Flophouse	1969
914	361	Back Home	1966
915	361	Somebody Will Know Someday	1967
916	361	Window Of My Eyes	1968
917	362	Do You Really Want To Hurt Me	1982
918	362	Karma Chameleon	1983
919	363	Norma Jean Wants To Be A Moviestar	1975
920	364	Down To Earth	1987
921	365	Move On Up	1970
922	366	Back Street Luv	1971
923	367	I Just Died In Your Arms Tonight	1986
924	368	Girls Just Want To Have Fun	1984
925	368	Time After Time	1984
926	368	True Colors	1986
927	369	Around The World	1997
928	369	Harder Better Faster Stronger	2001
929	369	One More Time	2000
930	370	Get Lucky	2013
931	371	Gigi L'Amoroso	1974
932	371	Paroles	1973
933	372	9 Crimes	2006
934	372	The Blower's Daughter	2005
935	373	Longer	1980
936	373	Netherlands	1977
937	374	Relight My Fire	1980
938	375	All Kinds Of Everything	1970
939	376	Bohemian Like You	2001
940	377	Hier Kom Ik Weg	2008
941	377	Op 't Platteland	2014
942	377	Prachtig Mooie Dag	2011
943	378	Bad Day	2005
944	380	At The Hop	1957
945	381	Ik Voel Me Zo Verdomd Alleen	1984
946	382	I Remember Elvis Presley	1977
947	383	Roller Coaster	2019
948	379	Butterfly	1971
949	384	Come Back My Love	1978
950	385	Sandstorm	2001
951	386	Dansez Maintenant	1975
952	387	Now	1965
953	387	This Strange Effect	1965
954	388	Death Of A Clown	1967
955	389	Don Juan	1969
956	389	Hold Tight	1966
957	389	The Legend Of Xanadu	1968
958	389	Zabadak	1967
959	390	I Hear You Knocking	1970
960	391	What Becomes Of The Broken Hearted	1981
961	392	Absolute Beginners	1986
962	392	Ashes To Ashes	1980
963	392	Blackstar	2015
964	392	Blue Jean	1984
965	392	Changes	1971
966	392	China Girl	1983
967	392	Fame	1975
968	392	Golden Years	1976
969	392	Heroes	1976
970	392	Lazarus	2016
971	392	Let's Dance	1983
972	392	Life On Mars	1973
973	392	Rebel Rebel	1974
974	392	Sound And Vision	1977
975	392	Space Oddity	1969
976	392	Starman	1972
977	392	The Jean Genie	1973
978	392	The Man Who Sold The World	1970
979	392	Where Are We Now	2013
980	392	Wild Is The Wind	1976
981	392	Young Americans	1975
982	392	Ziggy Stardust	1972
983	393	Dancing In The Street	1985
984	394	This Is Not America	1985
985	395	How Can I Be Sure	1972
986	396	Dear Mrs. Applebee	1966
987	397	Sweet Victory	2012
988	398	Babylon	2000
989	399	When Love Takes Over	2009
990	400	Titanium	2011
991	401	Can I Get There By Candlelight	1969
992	401	The Days Of Pearly Spencer	1967
993	402	Don't Give Up On Us	1977
994	403	Forbidden Colours	1984
995	404	Duurt Te Lang	2018
996	405	Tie A Yellow Ribbon	1973
997	406	Mijn Gebed	1970
998	407	Als Het Golft	2000
999	407	Als Ze Er Niet Is	1994
1000	407	Binnen Zonder Kloppen	1985
1001	407	Bloedend Hart	1982
1002	407	Dansen Op De Vulkaan	1987
1003	407	De Blues Verlaat Je Nooit	2012
1004	407	Groot Hart	1985
1005	407	Ik Kan Het Niet Alleen	1989
1006	407	Kan Ik Iets Voor Je Doen?	2011
1007	407	Laat Het Vanavond Gebeuren	1997
1008	407	Mag Het Licht Uit	1987
1009	407	Mijn Van Straat Geredde Roos	2008
1010	407	Mooier Dan Nu	2009
1011	407	Nergens Goed Voor	1989
1012	407	Niemand In De Stad	1989
1013	407	Onderuit	1987
1014	407	Recht In De Ogen	2005
1015	408	Hold On Tight	2010
1016	409	Liefdesliedjes	1993
1017	410	Hollereer	2008
1018	410	Sterrenstof	2010
1019	410	Watskeburt?!	2005
1020	411	Eltse Grins Foarby	1997
1021	411	Hart Van Mijn Gevoel	1999
1022	411	In Nije Dei	1997
1023	411	Woorden Zonder Woorden	1998
1024	412	Mijn Houten Hart	1999
1025	412	Zij Maakt Het Verschil	2001
1026	413	The Fantastic Journey of the Underground Man	2009
1027	413	Witch Doctor	2014
1028	414	You Spin Me Round	1985
1029	415	Lydia	1979
1030	416	Everybody Loves Somebody	1964
1031	416	How Do You Like Your Eggs In The Morning	1951
1032	417	Rhythm Of The Night	1985
1033	418	Breakfast At Tiffany's	1996
1034	419	Black Night	1970
1035	419	Child In Time	1970
1036	419	Smoke On The Water	1973
1037	419	Woman From Tokyo	1973
1038	420	Runaway	1961
1039	421	Free The People	1970
1040	422	Put A Little Love On Me	1980
1041	423	Silence (TiĂ«sto Remix)	1997
1042	424	Forever And Ever	1973
1043	424	My Friend The Wind	1973
1044	425	Let's Hear It For The Boy	1984
1045	426	Blasphemous Rumours	1984
1046	426	Enjoy The Silence	1990
1047	426	Just Can't Get Enough	1985
1048	426	People Are People	1984
1049	426	Personal Jesus	1990
1050	426	SOMEBODY	1984
1051	427	Layla	1971
1052	430	Life	1998
1053	428	Voyage Voyage	1987
1054	429	The Israelites	1969
1055	431	Feel The Need In Me	1973
1056	432	HOTELLOUNGE	1994
1057	433	Come On Eileen	1982
1058	444	Inside My Head	2002
1059	444	This is who we are	2010
1060	444	Times Are Changing	2009
1061	434	Ain't No Mountain High Enough	1970
1062	434	Chain Reaction	1985
1063	434	I'm Coming Out	1980
1064	434	Love Hangover	1976
1065	434	My Old Piano	1980
1066	434	Theme From Mahogany (Do You Know Where You're Going To)	1976
1067	434	Upside Down	1980
1068	434	When You Tell Me That You Love Me	1992
1069	434	Why Do Fools Fall In Love	1981
1070	435	Endless Love	1981
1071	436	Baby Love	1964
1072	436	Reflections	1967
1073	436	Where Did Our Love Go	1964
1074	437	Life For Rent	2003
1075	437	White Flag	2003
1076	438	Sausolito Summernight	1980
1077	439	De Zon Op	2018
1078	439	Treur Niet (ode aan het leven)	2015
1079	440	Cocaine In My Brain	1977
1080	441	Een Lied Voor Kinderen	1973
1081	441	Hé Kom Aan	1973
1082	442	All The Love In The World	1983
1083	442	Anyone Who Had A Heart	1964
1084	442	Heartbreaker	1982
1085	442	What The World Needs Now Is Love	1967
1086	443	Brothers In Arms	1985
1087	443	Calling Elvis	1991
1088	443	Money For Nothing	1985
1089	443	On Every Street	1991
1090	443	Private Investigations	1982
1091	443	Romeo And Juliet	1980
1092	443	So Far Away	1985
1093	443	Sultans Of Swing	1978
1094	443	Telegraph Road	1982
1095	443	Tunnel Of Love	1980
1096	443	Twisting By The Pool	1983
1097	443	Walk Of Life	1985
1098	443	Water Of Love	1978
1099	443	Why Worry	1995
1100	443	Your Latest Trick	1985
1101	445	The Sound Of Silence	2016
1102	446	Rainbow In The Sky	1995
1103	447	Traffic	2003
1104	448	Heaven	2002
1105	449	1 Nacht Alleen	1983
1106	449	Belle Helene	1982
1107	449	De Bom	1982
1108	449	Doris Day	1982
1109	449	Is Dit Alles	1982
1110	449	Nederwiet	1983
1111	449	Pa	1983
1112	449	Sinds 1 Dag Of 2 (32 Jaar)	1981
1113	449	Smoorverliefd	1981
1114	450	All The Roses	1982
1115	450	Love Me Just A Little Bit More	1983
1116	450	Radio	1979
1117	451	9 To 5	1981
1118	451	I Will Always Love You	1983
1119	451	Jolene	1974
1120	451	You Are	1983
1121	452	New York Minute	1989
1122	452	The Boys Of Summer	1985
1123	453	American Pie	1972
1124	453	Crying	1980
1125	453	Vincent	1972
1126	454	Rocky	1976
1127	455	Rosie	1968
1128	456	De Oude School	1974
1129	457	Swimming Into Deep Water	1972
1130	458	I.G.Y. (What A Beautiful World)	1982
1131	458	New Frontier	1983
1132	458	The Nightfly	1982
1133	459	If You Hold My Hand	1973
1134	460	Could It Be Magic	1976
1135	460	I Feel Love	1977
1136	460	Lady Of The Night	1974
1137	460	Last Dance	1978
1138	460	MacArthur Park	1978
1139	460	State Of Independence	1982
1140	460	The Hostage	1974
1141	461	Atlantis	1969
1142	461	Colours	1965
1143	461	Mellow Yellow	1966
1144	461	Sunshine Superman	1966
1145	461	Universal Soldier	1965
1146	462	A Guy Is A Guy	1952
1147	462	Que Sera Sera (Whatever Will Be Will Be)	1956
1148	463	Twee Motten	1957
1149	464	Fall	2014
1150	464	Home	2014
1151	464	Hungry	2015
1152	464	Let The River In	2015
1153	465	Winter In America	1978
1154	466	Jacob's Song	2016
1155	466	Slow Down	2016
1156	466	You Don't Have To Stay	2013
1157	467	I Do	2018
1158	468	Baby Makes Her Blue Jeans Talk	1982
1159	468	Sharing The Night	1979
1160	468	Sylvia's Mother	1972
1161	468	When You're In Love With A Beautiful Woman	1979
1162	469	Cherchez La Femme	1977
1163	470	The Next Episode	2000
1164	471	Marmor, Stein Und Eiser Bricht	1965
1165	472	Dodenrit	1974
1166	472	Veerpont	1973
1167	473	Je Loog Tegen Mij	1981
1168	474	Be The One	2016
1169	474	Homesick	2017
1170	475	Wild Rover	1964
1171	476	Mercy	2008
1172	476	Rockferry	2009
1173	476	Warwick Avenue	2008
1174	477	Take The A Train	1941
1175	478	Wild Places	1979
1176	479	Arcade	2019
1177	480	A View To A Kill	1985
1178	480	Ordinary World	1993
1179	480	Save A Prayer	1985
1180	480	The Reflex	1984
1181	480	The Wild Boys	1984
1182	481	Goin' Back	1966
1183	481	I Just Don't Know What To Do With Myself	1964
1184	481	I Close My Eyes (And Count To Ten)	1968
1185	481	Son Of A Preacher Man	1968
1186	481	Summer Is Over	1965
1187	481	The Look Of Love	1967
1188	481	You Don't Have To Say You Love Me	1966
1189	482	This Is Welfare	1983
1190	483	Save Tonight	1998
1191	484	Busy Being Fabulous	2007
1192	484	Desperado	1973
1193	484	Hotel California	1977
1194	484	How Long	2007
1195	484	I can't tell you why	1979
1196	484	Lyin' Eyes	1975
1197	484	New Kid In Town	1977
1198	484	One Of These Nights	1975
1199	484	Peaceful Easy Feelin'	1972
1200	484	Take It Easy	1972
1201	484	Take It To The Limit	1975
1202	484	Tequila Sunrise	1973
1203	484	The Last Resort	1976
1204	484	Wasted Time	1976
1205	484	Witchy Woman	1972
1206	485	Save A Prayer	2015
1207	486	Maybe Tomorrow Maybe Tonight	1973
1208	486	Memories	1972
1209	486	Ruby Is The One	1970
1210	486	Seasons	1970
1211	486	Song Of The Marching Children	1971
1212	486	Storm And Thunder	1971
1213	486	Weekend	1979
1214	487	Boogie Wonderland	1979
1215	488	After The Love Has Gone	1979
1216	488	Fantasy	1978
1217	488	September	1979
1218	488	Shining Star	1975
1219	488	Star	1979
1220	489	Killing Moon	1984
1221	490	Castle On The Hill	2017
1222	490	Don't	2014
1223	490	Galway Girl	2017
1224	490	Give Me Love	2012
1225	490	Happier	2017
1226	490	I See Fire	2014
1227	490	Lego House	2012
1228	490	Perfect	2017
1229	490	Photograph	2015
1230	490	Shape Of You	2017
1231	490	Sing	2014
1232	490	Supermarket Flowers	2017
1233	490	The A Team	2011
1234	490	Thinking Out Loud	2014
1235	491	C'mon Everybody	1958
1236	491	Three Steps To Heaven	1960
1237	492	Knock On Wood	1966
1238	493	I'm Gonna Knock On Your Door	1961
1239	494	The Man From Manhattan	1976
1240	495	Baby Hold On	1978
1241	496	Hard Sun	2007
1242	496	Society	2007
1243	497	Gimme Hope Jo'anna	1988
1244	497	I Don't Wanna Dance	1982
1245	498	Het het nog nooit zo donker west	1984
1246	499	Love Grows	1970
1247	500	Milord	1960
1248	500	Non Je Ne Regrette Rien	1961
1249	501	A Ton of Love	2013
1250	501	An End Has A Start	2007
1251	501	Munich	2005
1252	501	Ocean Of Night	2015
1253	501	Papillon	2009
1254	501	Smokers Outside The Hospital Doors	2007
1255	501	The Racing Rats	2008
1256	502	Home	2011
1257	503	Oh Happy Day	1969
1258	504	NOVOCAINE FOR THE SOUL	1996
1259	505	Kom Uit De Bedstee M'n Liefste	1968
1260	506	Air	1969
1261	506	The 5th	1969
1262	507	Who's Johnny	1986
1263	508	I Know Him So Well	1985
1264	509	GROUNDS FOR DIVORCE	2008
1265	509	Lippy Kids	2011
1266	509	Magnificent (She Says)	2016
1267	509	One Day Like This	2008
1268	510	Can't Get It Out Of My Head	1975
1269	510	Don't Bring Me Down	1979
1270	510	Eldorado / Finale	1974
1271	510	Evil Woman	1975
1272	510	Livin' Thing	1976
1273	510	Mr. Blue Sky	1978
1274	510	Rock 'N Roll Is King	1983
1275	510	Roll Over Beethoven	1973
1276	510	Showdown	1974
1277	510	Strange Magic	1976
1278	510	Turn To Stone	1977
1279	511	Xanadu	1980
1280	512	Vogeltjesdans	1980
1281	513	Pearl's A Singer	1977
1282	514	Everytime We Say Goodbye	1956
1283	515	Summertime	1958
1284	516	We Belong To The Night	1979
1285	516	What's A Matter Baby	1979
1286	517	Wat Is Dromen	2010
1287	518	Love Me Like You Do	2015
1288	519	Blue Eyes	1982
1289	519	Border Song	1970
1290	519	Can You Feel The Love Tonight	1994
1291	519	Candle In The Wind	1997
1292	519	Circle Of Life	1994
1293	519	Daniel	1973
1294	519	Don't Let The Sun Go Down On Me	1974
1295	519	Goodbye Yellow Brick Road	1973
1296	519	I'm Still Standing	1983
1297	519	Nikita	1985
1298	519	Rocket man	1972
1299	519	Sacrifice	1990
1300	519	Song For Guy	1979
1301	519	Sorry Seems To Be The Hardest Word	1976
1302	519	Tiny Dancer	1971
1303	519	Your Song	1971
1304	520	Don't Go Breaking My Heart	1976
1305	521	Fooled Around And Fell In Love	1976
1306	522	Good Year For The Roses	1981
1307	522	I Want You	1986
1308	522	Oliver's Army	1979
1309	522	She	1999
1310	523	(You're The) Devil In Disguise	1963
1311	523	Always On My Mind	1972
1312	523	An American Trilogy	1972
1313	523	Are You Lonesome Tonight	1961
1314	523	Blue Suede Shoes	1956
1315	523	Burning Love	1972
1316	523	Can't Help Falling In Love	1961
1317	523	Don't Be Cruel	1956
1318	523	Good Luck Charm	1962
1319	523	Guitar Man	1968
1320	523	Heartbreak Hotel	1956
1321	523	Hound Dog	1959
1322	523	I Just Can't Help Believin'	1971
1323	523	In The Ghetto	1969
1324	523	It's Now Or Never	1960
1325	523	Jailhouse Rock	1957
1326	523	Kiss Me Quick	1963
1327	523	Little Sister	1962
1328	523	Love Me Tender	1956
1329	523	Moody Blue	1977
1330	523	My Boy	1975
1331	523	One Night	1959
1332	523	Suspicious Minds	1969
1333	523	Wooden Heart	1961
1334	524	A Little Less Conversation	2002
1335	525	Clown	2012
1336	525	Next To Me	2012
1337	525	Read All About It Pt. III	2013
1338	526	Lucky Man	1971
1339	526	Peter Gunn Theme	1980
1340	527	Big Big World	1998
1341	528	Cleanin' Out My Closet	2002
1342	528	LOSE YOURSELF	2002
1343	528	My Name Is	1999
1344	528	The Real Slim Shady	2000
1345	528	Without Me	2002
1346	529	Stan	2000
1347	530	The Monster	2013
1348	531	You Never Can Tell (C'est La Vie)	1977
1349	532	A Man Without Love	1968
1350	532	Release Me	1967
1351	532	There Goes My Everything	1967
1352	533	I'd Really Love To See You Tonight	1976
1353	534	Sadeness Part 1	1990
1354	535	Once Upon A Time In The West	1976
1355	536	Bailamos	1999
1356	536	Hero	2001
1357	537	Could I Have This Kiss Forever	2000
1358	538	Only Time	2000
1359	538	Orinoco Flow (Sail Away)	1988
1360	539	All By Myself	1976
1361	540	After Midnight	1970
1362	540	Cocaine	1978
1363	540	Forever Man	1985
1364	540	I Shot The Sheriff	1974
1365	540	Layla	1992
1366	540	Let It Grow	1974
1367	540	Tears In Heaven	1992
1368	540	Wonderful Tonight	1977
1369	541	Ma Che Bello Questo Amore	1988
1370	541	Musica E	1989
1371	541	Se Bastasse Una Canzone	1990
1372	541	Un' Emozione Per Sempre	2003
1373	542	I Belong To You	2005
1374	543	Cose Della Vita	1998
1375	544	I Can't Stand The Rain	1978
1376	544	One Way Ticket	1979
1377	545	Cinderella Rockafella	1968
1378	546	At Last	1960
1379	546	I Just Want To Make Love To You	1996
1380	546	I'd Rather Go Blind	1967
1381	547	Also Sprache Zarathustra	1973
1382	548	Carrie	1987
1383	548	The Final Countdown	1986
1384	549	Here Comes The Rain Again	1983
1385	549	Love Is A Stranger	1983
1386	549	Sweet Dreams (Are Made Of This)	1983
1387	549	There Must Be An Angel (Playing With My Heart)	1985
1388	550	Both Sides Now	1971
1389	551	Fields Of Gold	1996
1390	551	Songbird	1997
1391	552	Fantastig Toch	2007
1392	553	Bring Me To Life	2003
1393	553	My Immortal	2003
1394	554	Missing (Todd Terry Remix)	1995
1395	555	Kiss You All Over	1978
1396	556	More Than Words	1991
1397	557	Words	1982
1398	558	Stay With Me	1972
1399	559	Perfect	1988
1400	560	Si Tu Dois Partir, Va-T-En	1969
1401	561	EPIC	1989
1402	562	God Is A DJ	1998
1403	562	Insomnia	1996
1404	562	We Come 1	2001
1405	563	Jeanny	1986
1406	563	Rock Me Amadeus	1986
1407	564	Hero	2014
1408	565	Magic Forest	1969
1409	566	Younger Days	1987
1410	567	Praise You	1998
1411	568	Blue Moment	1955
1412	568	Blueberry Hill	1957
1413	568	I'm Walking	1957
1414	568	Margie	1959
1415	568	Red Sails In The Sunset	1963
1416	568	There Goes My heart Again	1963
1417	569	Christmas Was A Friend Of Mine	1982
1418	570	A Good Heart	1985
1419	571	Ring, Ring, I've Got To Sing	1966
1420	572	Feels Like Heaven	1984
1421	573	She Drives Me Crazy	1989
1422	574	Looking Too Closely	2014
1423	575	Strange Way	1979
1424	576	My Silver Lining	2014
1425	577	So Long	1980
1426	577	The Worker	1979
1427	578	A Gentleman's Excuse Me	1990
1428	579	Western Union	1967
1429	580	Hey St. Peter	1977
1430	581	Albatross	1969
1431	581	As Long As You Follow	1988
1432	581	Big Love	1987
1433	581	Black Magic Woman	1968
1434	581	Don't Stop	1977
1435	581	Dreams	1977
1436	581	Everywhere	1987
1437	581	Go Your Own Way	1977
1438	581	Landslide	1975
1439	581	Little Lies	1987
1440	581	Man Of The World	1969
1441	581	Need Your Love So Bad	1968
1442	581	Oh Well!	1969
1443	581	Rhiannon	1976
1444	581	Sara	1980
1445	581	Seven Wonders	1987
1446	581	Songbird	1977
1447	581	The Chain	1977
1448	581	The Green Manalishi	1970
1449	581	Tusk	1979
1450	581	You Make Loving Fun	1978
1451	582	Phantom of the Opera	2019
1452	583	Dog Days Are Over	2009
1453	583	Ship To Wreck	2015
1454	584	15 Miljoen Mensen	1996
1455	585	Hocus Pocus	1971
1456	585	House Of The King	1971
1457	585	Sylvia	1972
1458	586	All My Life	2002
1459	586	Best Of You	2005
1460	586	Everlong	1997
1461	586	Everlong (Acoustic)	1997
1462	586	Learn To Fly	2000
1463	586	The Pretender	2007
1464	586	These Days	2011
1465	586	Times Like These	2003
1466	586	Walk	2011
1467	586	Wheels	2009
1468	587	Lemon Tree	1996
1469	588	Cold As Ice	1977
1470	588	Feels Like The First Time	1997
1471	588	I Want To Know What Love Is	1984
1472	588	That Was Yesterday	1985
1473	588	Waiting For A Girl Like You	1982
1474	589	Here It Comes Again	1965
1475	589	You've Got Your Troubles	1965
1476	590	Pumped Up Kicks	2011
1477	591	Bernadette	1967
1478	591	If I Were A Carpenter	1968
1479	591	Reach Out I'll Be There	1966
1480	592	Get Off	1978
1481	593	Poupée De Cire, Poupée De Son	1965
1482	594	Tous Les Garcons Et Les Filles	1963
1483	595	De Verzoening	1987
1484	595	Hier Komt De Storm	1988
1485	595	Kronenburg Park	1985
1486	595	Linda	1983
1487	595	Winter In Hamburg	1987
1488	595	Zeg Me Dat Het Niet Zo Is	1990
1489	595	Zwart Wit	1984
1490	596	Angel Of Mine	1981
1491	597	I Remember You	1962
1492	598	Fly Me To The Moon	1964
1493	598	I've Got You Under My Skin	1956
1494	598	It Was A Very Good Year	1968
1495	598	My Way	1969
1496	598	Strangers In The Night	1966
1497	598	That's Life	1966
1498	598	Theme From New York, New York	1980
1499	599	Dancin' Fool	1979
1500	600	Relax	1984
1501	600	The Power Of Love	1984
1502	600	Two Tribes	1984
1503	601	High Noon	1952
1504	601	Rawhide	1958
1505	602	Darling	1978
1506	603	Grease	1978
1507	604	Heb Je Even Voor Mij	2004
1508	605	De Regenboog	1997
1509	606	Voor Haar	1977
1510	606	Zondagmiddag Buitenveldert	1969
1511	607	Vluchten Kan Niet Meer	1977
1512	608	Take Me Out	2003
1513	609	The Dolphins	1966
1514	610	I'm Telling You Now	1963
1515	611	Anak	1980
1516	612	Tallahassie Lassie	1959
1517	613	Living On My Own	1993
1518	613	The Great Pretender	1987
1519	614	Barcelona	1987
1520	615	Before The Next Teardrop Falls	1975
1521	616	Junge Komm Bald Wieder	1963
1522	617	All Right Now	1970
1523	618	Leven Na De Dood	1997
1524	619	Keeping The Dream Alive	1989
1525	619	Play It Cool	1988
1526	620	Cent Mille Chansons	1969
1527	621	Killing Me Softly	1996
1528	622	Standing On The Inside	1976
1529	623	Some Nights	2012
1530	623	We Are Young	2013
1531	624	Kaap'ren Vaaren	1974
1532	625	Broad Daylight	2006
1533	626	Sweet About Me	2008
1534	627	Beautiful Day	2007
1535	628	Matador	1980
1536	629	No More Fear Of Flying	1979
1537	630	Mad World	2003
1538	631	Out In The Fields	1985
1539	631	Still Got The Blues (For You)	1990
1540	632	Young Girl	1968
1541	633	Chariot	2006
1542	633	Not Over You	2011
1543	633	Soldier	2012
1544	634	The Book Of Love	2015
1545	635	I Like Chopin	1983
1546	636	Bloasmuziek	1999
1547	637	Singing In The Rain	1952
1548	638	24 Hours From Tulsa	1964
1549	638	Mecca	1963
1550	638	Something's Gotta Hold Of My Heart	1968
1551	639	Firth Of Fifth	1973
1552	639	Follow You Follow Me	1978
1553	639	Hold On My Heart	1992
1554	639	HOME BY THE SEA	1983
1555	639	I Can't Dance	1992
1556	639	Invisible Touch	1986
1557	639	Jesus He knows me	1992
1558	639	Land Of Confusion	1986
1559	639	Mama	1983
1560	639	No Son Of Mine	1991
1561	640	Little Green Bag	1969
1562	640	Una Paloma Blanca	1975
1563	641	Give Me The Night	1980
1564	642	Budapest	2014
1565	642	Shotgun	2018
1566	643	Rhapsody In Blue	1924
1567	644	Bangla Desh	1971
1568	644	Give Me Love	1973
1569	644	Got My Mind Set On You	1987
1570	644	My Sweet Lord	1970
1571	644	What Is Life	1971
1572	645	Rock Your Baby	1974
1573	646	A Different Corner	1986
1574	646	Careless Whisper	1984
1575	646	Cowboys And Angels	1991
1576	646	Faith	1987
1577	646	Father Figure	1988
1578	646	Freedom! '90	1990
1579	646	I Can't Make You Love Me	1997
1580	646	Jesus To A Child	1996
1581	646	Killer/Papa Was a Rollin' Stone	1993
1582	646	Kissing a Fool	1988
1583	646	Praying For Time	1990
1584	646	You Have Been Loved	1997
1585	647	I Knew You Were Waiting (For Me)	1987
1586	648	Don't Let The Sun Go Down On Me	1991
1587	649	As	1999
1588	650	Somebody To Love (Live)	1993
1589	651	Le Meteque	1969
1590	652	Rosetta	1971
1591	652	The Ballad Of Bonnie And Clyde	1968
1592	652	Yeh Yeh	1965
1593	653	't Is Weer Voorbij Die Mooie Zomer	1973
1594	653	1948	1972
1595	654	No More Boleros	1989
1596	655	La Ballade Des Gens Heureux	1976
1597	655	Voici Les Cles	1977
1598	656	Tanze Mit Mir In Den Morgen	1962
1599	657	Ferry 'Cross The Mersey	1964
1600	657	How Do You Do It	1963
1601	657	You'll Never Walk Alone	1963
1602	658	Baker Street	1978
1603	658	City To City	1978
1604	659	Ik Neem Je Mee	2011
1605	660	Non Stop Dance	1977
1606	660	Que Sera Mi Vida	1980
1607	661	L'AMOUR TOUJOURS	2001
1608	662	L'important C'est La Rose	1967
1609	662	Nathalie	1964
1610	663	Alone Again	1972
1611	663	Clair	1972
1612	663	Get Down	1973
1613	663	Matrimony	1972
1614	663	Nothing Rhymed	1971
1615	664	Hurts To Be In Love	1985
1616	664	People Gotta Move	1974
1617	664	Powerful People	1974
1618	664	Wild Horses	1987
1619	665	Bamboleo	1988
1620	666	Help Me Make It Through The Night	1971
1621	666	Midnight Train To Georgia	1973
1622	667	Rhinestone Cowboy	1975
1623	667	Wichita Lineman	1968
1624	668	Nothings Gonna Change My Love For You	1988
1625	669	In The Mood	1940
1626	669	Moonlight Serenade	1939
1627	670	Afscheid	2011
1628	671	Anything For You	1989
1629	671	Can't Stay Away From You	1988
1630	671	Conga	1986
1631	671	Don't Wanna Lose You Now	1989
1632	671	Dr. Beat	1984
1633	672	I Will Survive	1979
1634	672	Never Can Say Goodbye	1975
1635	672	Reach Out I'll Be There	1975
1636	673	Crazy	2006
1637	674	An Englishman In New York	1980
1638	674	Cry	1985
1639	675	Another 45 Miles	1969
1640	675	Back Home	1970
1641	675	Bombay	1976
1642	675	Buddy Joe	1972
1643	675	Dong-Dong-Di-Ki-Di-Gi-Dong	1968
1644	675	Going To The Run	1991
1645	675	Hold Me Now	1994
1646	675	Holy Holy Life	1971
1647	675	I've Just Lost Somebody	1968
1648	675	Just A Little Bit Of Peace In My Heart	1968
1649	675	Long Blond Animal	1980
1650	675	Please Go	1965
1651	675	Radar Love	1973
1652	675	She Flies On Strange Wings	1971
1653	675	Sleepwalkin'	1976
1654	675	Sound Of The Screaming Day	1967
1655	675	That Day	1966
1656	675	Twilight Zone	1982
1657	675	Weekend Love	1979
1658	675	When The Lady Smiles	1984
1659	676	Making Up Again	1978
1660	677	Iris	1999
1661	678	Sun Of Jamaica	1980
1662	679	Kon Ik Maar Even Bij Je Zijn	1991
1663	680	If You Could Read My Mind	1971
1664	680	Sundown	1974
1665	681	Clint Eastwood	2001
1666	681	Feel Good Inc	2005
1667	682	Mia	1992
1668	683	Heavy Cross	2009
1669	684	Somebody That I Used To Know	2011
1670	685	I've Seen That Face Before	1981
1671	685	La Vie En Rose	1977
1672	686	Chicago	1971
1673	687	Some Kind Of Wonderful	1975
1674	688	Deep Water	1969
1675	689	Real Cool World	1970
1676	690	21 Guns	2009
1677	690	American Idiot	2004
1678	690	Basket Case	1994
1679	690	Boulevard Of Broken Dreams	2004
1680	690	Good Riddance (Time Of Your Life)	1997
1681	690	HOLIDAY	2005
1682	690	Wake Me Up When September Ends	2005
1683	690	When I Come Around	1995
1684	691	Only Lies	1971
1685	692	Liquid Spirit (Claptone Remix)	2015
1686	693	Black And White	1971
1687	694	Just The Two Of Us	1981
1688	695	Beep Beep Love	1977
1689	696	Let Kiss	1965
1690	697	Don't Cry	1991
1691	697	Estranged	1994
1692	697	Knockin On Heaven's Doorr	1992
1693	697	Live And Let Die	1991
1694	697	November Rain	1992
1695	697	Paradise City	1989
1696	697	Patience	1989
1697	697	Sweet Child O'Mine	1987
1698	697	Welcome To The Jungle	1987
1699	698	Balada (TchĂŞ Tcherere TchĂŞ TchĂŞ)	2012
1700	699	Als Ze Danst	2011
1701	699	Armen Open	2011
1702	699	Brabant	2003
1703	699	Dat Komt Door Jou	2009
1704	699	De Weg	2005
1705	699	Geef Mij Je Angst	2005
1706	699	Het Kan Hier Zo Mooi Zijn	2013
1707	699	Ik Wil Nog Niet Naar Huis	2008
1708	699	Proosten	2007
1709	699	Tranen Gelachen	2007
1710	700	Nergens Zonder Jou	2011
1711	701	't Dondert En 't Bliksemt	1998
1712	701	Het Is Een Nacht	1995
1713	701	Per Spoor (Kedeng Kedeng)	1996
1714	702	Mary In The Morning	1971
1715	703	Heartaches By The Number	1960
1716	703	My Truly Truly Fair	1951
