vizsgázó évfolyama	vizsgázó képzési típusa	vizsgázó neme	érdemjegy	össz százalék	össz pontszám	szövegértés	szövegalkotás: tartalmi minőség	szövegalkotás: szerkezet, felépítés	szövegalkotás: nyelvi minőség	levonás helyesírási hibák miatt (max.)	levonás íráskép miatt (max.)	írásbeli pontszám	nyelvi, irodalmi tételkifejtés: tartalom	nyelvi, irodalmi tételkifejtés: előadásmód	szóbeli pontszám		maximális pont írásbeli	maximális pont szóbeli		Százalék	Érdemjegy
12	szakközép	férfi				30	7	7	6	-14	-1	35	12	11	23						
12	szakközép	férfi				37	6	6	6	-15	-1	39	14	19	33						
12	szakközép	férfi				40	12	17	15	0	0	84	18	19	37						
12	szakközép	férfi				38	13	14	12	-15	0	62	13	18	31						
12	szakközép	férfi				32	9	9	9	-9	0	50	22	20	42						
12	szakközép	férfi				38	1	4	5	-8	0	40	8	10	18						
12	szakközép	férfi				35	2	2	2	-15	-1	25	20	20	40						
12	szakközép	férfi				32	5	8	7	-8	0	44	8	8	16						
12	szakközép	férfi				32	7	12	12	-7	0	56	13	16	29						
12	szakközép	férfi				38	10	12	11	-7	0	64	13	15	28						
12	szakközép	férfi				35	5	6	6	-4	0	48	12	14	26						
12	szakközép	férfi				39	12	18	18	-3	0	84	17	19	36						
12	szakközép	férfi				38	7	8	6	-7	-1	51	8	10	18						
12	szakközép	férfi				33	7	7	6	-15	-1	37	9	12	21						
12	szakközép	férfi				28	7	8	8	-15	0	36	14	16	30						
12	szakközép	férfi				34	8	8	6	-1	0	55	8	8	16						
12	szakközép	férfi				32	2	2	2	-15	0	23	7	8	15						
12	szakközép	férfi				33	1	1	1	-15	-1	20	19	18	37						
12	szakközép	férfi				32	1	6	7	-15	-1	30	5	6	11						
12	szakközép	férfi				33	6	7	6	-10	-1	41	2	2	4						
12	szakközép	férfi				39	4	8	7	-10	0	48	7	10	17						
12	szakközép	férfi				32	1	1	1	-15	0	20	9	10	19						
12	szakközép	férfi				37	1	5	5	-15	0	33	17	20	37						
12	szakközép	férfi				35	1	2	2	-15	0	25	6	8	14						
12	szakközép	férfi				30	4	5	4	-13	-1	29	6	8	14						
12	szakközép	férfi				32	15	15	14	-15	0	61	7	8	15						
12	szakközép	férfi				29	14	15	15	-11	0	62	8	10	18						
12	szakközép	férfi				35	18	16	16	-11	0	74	10	10	20						
12	szakközép	férfi				29	8	8	5	-15	-1	34	3	4	7						
12	szakközép	férfi				29	8	8	8	-11	-1	41	10	10	20						
12	szakközép	férfi				27	5	5	5	-10	0	32	7	7	14						
12	szakközép	férfi				33	4	6	13	-9	0	47	3	4	7						
12	szakközép	férfi				33	3	3	6	-2	0	43	3	4	7						
13	szakközép	férfi				34	12	12	14	-6	0	66	10	10	20						
13	szakközép	férfi				31	1	1	5	-4	0	34	3	4	7						
13	szakközép	férfi				33	6	8	10	-1	0	56	10	17	27						
13	szakközép	férfi				36	15	15	17	-4	-2	77	8	8	16						
13	szakközép	férfi				37	17	17	16	-3	-1	83	20	17	37						
13	szakközép	férfi				34	2	4	14	-4	0	50	6	6	12						
13	szakközép	férfi				29	15	17	13	-4	0	70	18	18	36						
13	szakközép	nő				35	4	6	12	-10	0	47	15	18	33						
12	szakközép	férfi				30	2	3	7	-6	0	36	8	8	16						
12	gimnázium	férfi				31	18	17	16	-8	0	74	15	5	20						
12	szakközép	férfi				30	12	14	9	-15	0	50	16	24	40						
12	gimnázium	nő				34	12	15	14	-12	0	63	10	15	25						
12	gimnázium	nő				37	10	12	10	-5	-1	63	12	10	22						
12	gimnázium	nő				32	15	14	15	-15	0	61	18	15	33						
12	gimnázium	nő				37	15	14	15	-7	0	74	20	20	40						
12	gimnázium	férfi				33	8	8	8	-6	-2	49	25	25	50						
12	gimnázium	nő				30	4	7	5	-15	0	31	12	5	17						
12	gimnázium	nő				31	4	7	10	-15	0	37	15	12	27						
12	gimnázium	nő				36	4	8	11	-15	0	44	15	12	27						
12	gimnázium	férfi				31	8	8	8	-10	0	45	13	10	23						
12	szakközép	nő				36	17	19	17	-15	0	74	19	22	41						
12	gimnázium	nő				38	6	12	15	-15	0	56	15	15	30						
12	szakközép	nő				33	10	19	18	-10	0	70	25	25	50						
12	gimnázium	nő				35	4	13	12	-15	0	49	25	25	50						
12	szakközép	nő				35	14	14	16	-6	0	73	23	24	47						
12	gimnázium	nő				31	4	10	11	-15	-1	40	16	10	26						
12	szakközép	férfi				33	10	12	10	-15	0	50	8	15	23						
12	gimnázium	nő				33	4	15	15	-8	0	59	16	18	34						
12	gimnázium	nő				40	17	15	18	-4	0	86	20	20	40						
12	gimnázium	férfi				36	20	20	20	-3	0	93	20	20	40						
12	szakközép	nő				38	8	13	15	-15	-1	58	25	25	50						
12	szakközép	nő				39	17	18	19	-5	0	88	25	25	50						
12	gimnázium	nő				38	2	5	5	-5	0	45	12	10	22						
12	gimnázium	nő				37	15	13	15	-10	-1	69	25	25	50						
12	szakközép	férfi				36	12	12	12	-6	0	66	18	18	36						
12	gimnázium	nő				34	4	12	10	-15	0	45	25	25	50						
12	szakközép	nő				36	15	19	19	-11	0	78	20	22	42						
12	szakközép	nő				38	17	18	18	-9	0	82	17	21	38						
12	szakközép	nő				37	18	19	19	-7	0	86	22	21	43						
12	szakközép	nő				35	14	16	17	-10	0	72	24	25	49						
12	szakközép	nő				40	10	15	17	-4	0	78	19	25	44						
12	szakközép	férfi				33	8	10	13	-15	-1	48	14	18	32						
12	szakközép	férfi				35	9	13	13	-15	-1	54	20	23	43						
12	szakközép	nő				40	19	20	19	-13	0	85	25	25	50						
12	szakközép	nő				39	20	20	20	-4	0	95	25	25	50						
12	szakközép	nő				37	13	16	18	-4	0	80	21	19	40						
12	szakközép	nő				38	17	14	16	-12	0	73	24	24	48						
12	szakközép	nő				38	17	19	15	-7	0	82	17	24	41						
12	szakközép	nő				34	8	15	19	-10	0	66	24	25	49						
12	szakközép	nő				39	20	20	20	-4	0	95	24	25	49						
12	szakközép	nő				36	14	17	16	-4	0	79	15	17	32						
12	szakközép	nő				36	10	16	14	-3	0	73	19	22	41						
12	szakközép	férfi				35	14	16	15	-10	0	70	7	14	21						
12	szakközép	nő				35	8	16	16	-5	0	70	19	22	41						
12	szakközép	nő				39	14	16	18	-8	0	79	21	22	43						
12	szakközép	férfi				37	15	15	15	-7	0	75	25	21	46						
12	szakközép	férfi				35	16	13	13	-15	0	62	20	18	38						
12	szakközép	férfi				39	9	12	14	-8	0	66	15	20	35						
12	szakközép	nő				39	19	18	18	-9	0	85	18	23	41						
12	szakközép	nő				35	4	8	16	0	0	63	23	24	47						
12	szakközép	férfi				33	11	13	15	-9	0	63	6	11	17						
12	szakközép	nő				39	14	15	16	-7	0	77	20	24	44						
12	szakközép	nő				38	15	17	16	-4	0	82	14	20	34						
12	szakközép	nő				27	12	14	16	-8	0	61	12	17	29						
12	szakközép	férfi				37	20	20	20	-1	0	96	22	24	46						
12	szakközép	nő				32	15	15	16	-6	0	72	24	24	48						
12	szakközép	nő				33	16	18	17	-9	0	75	23	24	47						
12	szakközép	férfi				33	3	7	10	-6	0	47	6	10	16						
12	szakközép	nő				31	1	4	10	-5	0	41	25	25	50						
12	szakközép	nő				35	7	8	12	-4	0	58	16	19	35						
12	szakközép	férfi				34	14	14	16	-14	-1	63	13	18	31						
12	szakközép	férfi				32	17	17	17	-9	0	74	25	25	50						
12	szakközép	nő				36	7	8	9	-1	0	59	18	22	40						
12	szakközép	nő				36	3	8	8	-6	0	49	25	25	50						
12	szakközép	nő				37	20	20	18	0	0	95	25	25	50						
12	szakközép	nő				37	20	20	20	-1	-1	95	20	20	40						
12	szakközép	férfi				37	19	20	18	-2	0	92	12	8	20						
12	szakközép	férfi				36	9	9	9	-15	0	48	21	21	42						
12	szakközép	nő				36	20	20	20	0	0	96	25	25	50						
12	szakközép	nő				36	12	12	11	-5	0	66	17	15	32						
12	szakközép	nő				38	19	19	19	-1	0	94	17	15	32						
12	szakközép	férfi				40	16	16	16	-4	-2	82	23	20	43						
12	szakközép	nő				31	4	10	10	-1	0	54	6	6	12						
12	szakközép	nő				33	14	14	14	0	0	75	18	18	36						
12	szakközép	nő				39	19	20	19	-1	0	96	25	25	50						
12	szakközép	nő				23	4	10	10	-12	0	35	15	13	28						
12	szakközép	férfi				35	4	6	8	0	0	53	22	18	40						
12	szakközép	férfi				37	17	17	15	-7	0	79	14	12	26						
12	szakközép	férfi				36	7	8	8	-6	-1	52	6	6	12						
12	szakközép	férfi				32	4	12	11	-8	0	51	6	6	12						
12	szakközép	nő				38	17	17	17	-1	0	88	18	18	36						
12	szakközép	nő				28	10	11	10	-2	0	57	18	18	36						
12	szakközép	nő				28	14	15	14	-5	0	66	20	20	40						
12	szakközép	nő				39	18	18	18	-2	0	91	24	24	48						
12	szakközép	nő				40	20	20	18	-8	-1	89	25	25	50						
12	szakközép	nő				40	15	16	15	-6	0	80	20	20	40						
12	szakközép	nő				37	9	9	9	-15	0	49	8	6	14						
12	szakközép	nő				38	19	20	18	-15	0	80	24	25	49						
12	szakközép	férfi				39	18	18	16	-8	0	83	6	6	12						
12	szakközép	férfi				37	4	12	12	-15	0	50	6	6	12						
12	szakközép	nő				37	18	18	16	-4	-1	84	20	20	40						
12	szakközép	nő				35	17	20	18	-3	0	87	22	20	42						
12	szakközép	nő				37	8	7	8	-1	0	59	6	6	12						
12	szakközép	nő				36	16	17	17	-3	0	83	23	24	47						
12	szakközép	nő				38	17	17	17	0	0	89	6	6	12						
12	szakközép	nő				35	20	20	20	-1	0	94	25	25	50						
12	szakközép	nő				40	19	20	18	-6	0	91	18	18	36						
12	gimnázium	férfi				30	4	15	14	-4	0	59	17	18	35						
12	gimnázium	nő				32	14	16	17	-4	0	75	18	22	40						
12	gimnázium	nő				25	4	14	13	-11	0	45	5	5	10						
12	gimnázium	nő				37	20	18	20	-3	0	92	25	25	50						
12	gimnázium	nő				31	11	13	12	-13	0	54	13	14	27						
12	gimnázium	nő				32	16	15	16	-13	0	66	25	25	50						
12	gimnázium	férfi				33	12	12	15	-9	-1	62	12	12	24						
12	gimnázium	nő				33	11	14	13	-15	0	56	5	5	10						
12	gimnázium	férfi				36	14	16	16	-3	-1	78	21	23	44						
12	gimnázium	nő				34	5	7	7	-15	-1	37	15	15	30						
12	gimnázium	nő				34	14	14	13	-14	0	61	25	25	50						
12	gimnázium	nő				27	8	8	12	-15	0	40	16	17	33						
12	gimnázium	nő				29	14	12	12	-13	0	54	15	15	30						
12	gimnázium	férfi				39	19	18	20	-11	-1	84	25	25	50						
12	gimnázium	nő				36	20	20	20	-7	0	89	25	25	50						
12	gimnázium	nő				29	11	10	6	-15	0	41	25	25	50						
12	gimnázium	nő				36	15	15	15	-7	0	74	25	25	50						
12	gimnázium	férfi				36	14	13	14	-12	-1	64	15	15	30						
12	gimnázium	nő				32	6	13	14	-7	0	58	5	5	10						
12	gimnázium	nő				30	12	13	13	-7	0	61	14	17	31						
12	gimnázium	nő				38	20	19	20	-4	0	93	25	25	50						
12	gimnázium	férfi				22	6	13	12	-7	0	46	5	5	10						
12	gimnázium	nő				22	5	7	8	-10	0	32	5	5	10						
12	gimnázium	nő				24	8	8	6	-15	0	31	15	15	30						
12	gimnázium	nő				33	14	14	13	-15	0	59	14	18	32						
12	gimnázium	nő				27	13	14	15	-15	0	54	5	7	12						
12	gimnázium	nő				37	12	14	13	-6	0	70	25	25	50						
12	gimnázium	nő				25	11	11	8	-13	0	42	14	15	29						
12	gimnázium	nő				37	13	14	15	-15	0	64	25	25	50						
12	szakközép	nő				35	18	19	19	-3	0	88	25	25	50						
12	szakközép	férfi				31	1	2	4	-13	0	25	14	21	35						
12	szakközép	nő				33	18	20	18	-4	0	85	25	25	50						
12	szakközép	férfi				39	20	20	18	-8	0	89	22	22	44						
12	szakközép	nő				33	10	12	12	-15	0	52	18	20	38						
12	szakközép	férfi				35	16	18	17	-3	0	83	25	25	50						
12	szakközép	nő				34	9	8	6	-6	0	51	15	16	31						
12	szakközép	férfi				34	1	2	1	-10	-1	27	18	20	38						
12	szakközép	nő				37	16	18	18	-2	0	87	25	25	50						
12	szakközép	férfi				35	17	19	19	-2	0	88	25	25	50						
12	szakközép	férfi				32	16	18	18	-4	0	80	19	21	40						
12	szakközép	nő				37	8	10	12	-4	0	63	23	24	47						
12	szakközép	nő				34	10	14	14	-15	0	57	15	20	35						
12	szakközép	férfi				22	4	4	8	-12	0	26	10	11	21						
12	szakközép	nő				38	18	20	20	-5	0	91	25	25	50						
12	szakközép	férfi				32	12	13	12	-10	-1	58	13	15	28						
12	szakközép	férfi				37	12	14	10	-7	-1	65	20	23	43						
12	szakközép	nő				35	4	4	8	-11	0	40	25	25	50						
12	szakközép	nő				36	17	19	18	-2	0	88	25	25	50						
12	szakközép	férfi				34	14	14	13	-4	0	71	16	19	35						
12	szakközép	nő				35	16	9	16	-1	0	75	23	25	48						
12	szakközép	nő				33	4	6	8	-5	0	46	13	18	31						
12	szakközép	férfi				37	15	18	18	-12	0	76	25	25	50						
12	szakközép	nő				40	18	20	20	-6	0	92	25	25	50						
13	szakközép	nő				33	14	17	15	-8	0	71	25	25	50						
13	szakközép	nő				38	18	20	19	-2	0	93	23	25	48						
13	szakközép	nő				34	16	18	14	-15	0	67	21	22	43						
13	szakközép	nő				38	8	13	13	0	0	72	23	25	48						
13	szakközép	nő				36	17	18	18	-2	0	87	25	25	50						
13	szakközép	nő				37	10	14	12	-13	0	60	18	21	39						
13	szakközép	férfi				37	19	20	19	-6	0	89	23	25	48						
13	szakközép	férfi				36	13	13	13	-3	-1	71	17	23	40						
13	szakközép	nő				39	18	19	17	-7	0	86	22	24	46						
13	szakközép	nő				37	20	20	20	-2	0	95	25	25	50						
13	szakközép	nő				37	13	14	13	-9	0	68	14	18	32						
13	szakközép	nő				37	19	18	16	-8	0	82	25	25	50						
13	szakközép	nő				38	10	15	13	-3	0	73	14	20	34						
13	szakközép	férfi				36	9	10	9	-14	-1	49	14	17	31						
13	szakközép	férfi				35	14	17	18	0	-1	83	20	25	45						
13	szakközép	nő				39	20	20	18	-6	0	91	25	25	50						
13	szakközép	nő				38	12	15	15	-7	0	73	23	25	48						
13	szakközép	férfi				31	7	9	9	-15	0	41	16	18	34						
13	szakközép	nő				40	20	20	19	0	0	99	25	25	50						
13	szakközép	nő				35	8	13	12	-5	0	63	14	18	32						
13	szakközép	nő				38	9	11	13	-3	0	68	13	17	30						
13	szakközép	nő				38	7	14	12	0	0	71	8	10	18						
13	szakközép	nő				38	14	14	15	-1	0	80	16	20	36						
13	szakközép	nő				38	19	20	18	-3	0	92	25	25	50						
13	szakközép	nő				38	8	13	13	-6	0	66	14	16	30						
13	szakközép	nő				35	8	8	8	0	0	59	12	14	26						
13	szakközép	férfi				39	9	13	13	-11	0	63	14	15	29						
13	szakközép	nő				39	6	8	8	-1	0	60	15	17	32						
13	szakközép	nő				40	11	14	13	-3	0	75	20	24	44						
13	szakközép	férfi				40	20	19	19	0	-1	97	25	25	50						
13	szakközép	nő				37	1	2	6	-7	0	39	10	12	22						
13	szakközép	nő				39	7	12	12	0	0	70	5	13	18						
13	szakközép	nő				40	7	8	14	-2	0	67	12	18	30						
13	szakközép	nő				38	9	13	13	-7	0	66	12	19	31						
12	gimnázium	nő				29	10	10	12	-15	0	46	15	12	27						
13	gimnázium	férfi				37	18	20	20	0	0	95	24	24	48						
12	gimnázium	nő				31	5	5	5	-15	0	31	12	12	24						
12	gimnázium	nő				33	8	8	8	-5	0	52	17	17	34						
12	gimnázium	nő				36	9	9	9	-15	-1	47	5	5	10						
13	szakközép	férfi				30	4	6	6	-12	-1	33	17	21	38						
13	szakközép	férfi				26	2	6	6	-9	-1	30	14	18	32						
13	szakközép	nő				33	16	18	18	-5	0	80	25	25	50						
13	szakközép	nő				30	8	8	8	-10	0	44	23	23	46						
13	szakközép	nő				36	5	9	10	0	0	60	18	20	38						
13	szakközép	nő				39	18	18	19	-6	0	88	25	25	50						
13	szakközép	nő				32	13	16	16	-6	0	71	25	25	50						
13	szakközép	férfi				35	8	8	9	-15	-1	44	22	25	47						
13	szakközép	nő				33	15	15	15	-7	0	71	11	18	29						
13	szakközép	nő				37	18	19	20	-3	0	91	25	25	50						
13	szakközép	férfi				36	15	16	17	0	-1	83	25	25	50						
13	szakközép	nő				35	15	15	12	-7	0	70	19	20	39						
13	szakközép	nő				27	13	13	13	-15	0	51	22	19	41						
12	gimnázium	nő				39	17	16	18	-6	0	84	22	23	45						
12	gimnázium	nő				35	17	19	17	-15	0	73	10	10	20						
12	gimnázium	nő				38	20	20	20	0	0	98	25	25	50						
12	gimnázium	nő				37	18	19	20	0	0	94	25	25	50						
12	gimnázium	nő				34	19	18	14	-12	0	73	25	25	50						
12	gimnázium	nő				35	19	17	18	-2	0	87	24	25	49						
12	gimnázium	nő				40	20	20	19	-3	0	96	25	25	50						
12	gimnázium	nő				40	18	17	18	-4	0	89	22	24	46						
12	gimnázium	nő				40	19	14	16	-15	0	74	25	25	50						
12	gimnázium	nő				35	19	19	16	-11	0	78	10	15	25						
12	gimnázium	nő				38	20	19	19	-1	0	95	15	20	35						
12	gimnázium	nő				38	19	19	18	-2	0	92	23	24	47						
12	gimnázium	nő				36	19	20	16	0	0	91	15	20	35						
12	gimnázium	férfi				38	12	12	12	-9	-2	63	15	15	30						
12	gimnázium	nő				38	14	18	19	-3	0	86	25	20	45						
12	gimnázium	nő				36	16	19	18	-1	0	88	22	25	47						
12	gimnázium	nő				37	17	19	18	-3	0	88	20	20	40						
12	gimnázium	nő				37	20	19	18	-4	0	90	23	23	46						
12	gimnázium	nő				38	13	16	18	-2	0	83	25	24	49						
12	gimnázium	nő				34	18	13	16	-6	0	75	10	15	25						
12	gimnázium	férfi				37	8	8	12	-1	0	64	10	10	20						
12	gimnázium	férfi				38	14	18	19	0	0	89	22	20	42						
12	gimnázium	férfi				40	20	20	19	-3	0	96	15	15	30						
12	gimnázium	nő				33	18	17	17	-7	0	78	20	15	35						
12	gimnázium	nő				38	17	20	18	-9	0	84	24	25	49						
12	gimnázium	nő				38	12	13	13	-6	0	70	5	5	10						
12	gimnázium	nő				33	8	12	12	-4	0	61	5	10	15						
12	gimnázium	férfi				38	10	12	12	-1	0	71	12	10	22						
12	szakközép	férfi				35	14	12	14	-2	0	73	18	20	38						
12	szakközép	férfi				25	8	11	10	-7	-1	46	6	6	12						
12	szakközép	férfi				39	8	8	14	-10	0	59	13	14	27						
12	szakközép	férfi				34	11	12	10	-15	0	52	14	15	29						
12	szakközép	nő				34	11	15	16	-4	0	72	18	18	36						
12	szakközép	férfi				31	9	9	10	-15	0	44	24	23	47						
12	szakközép	férfi				33	10	18	14	-13	0	62	16	16	32						
12	szakközép	férfi				31	4	10	9	-15	-1	38	9	13	22						
12	szakközép	nő				35	12	12	8	-15	0	52	21	20	41						
12	szakközép	férfi				20	5	6	7	-15	0	23	9	7	16						
12	szakközép	férfi				32	6	13	9	-15	0	45	7	6	13						
12	szakközép	férfi				25	8	8	9	-8	0	42	10	8	18						
12	szakközép	férfi				29	6	13	10	-7	0	51	7	10	17						
12	szakközép	férfi				27	4	10	10	-6	0	45	7	10	17						
12	szakközép	férfi				29	16	15	17	-1	0	76	25	25	50						
12	szakközép	férfi				26	6	8	9	-8	0	41	11	9	20						
12	szakközép	férfi				33	8	8	10	-9	0	50	4	9	13						
12	szakközép	férfi				27	10	10	11	-15	0	43	10	8	18						
12	szakközép	férfi				32	15	10	10	-14	0	53	21	23	44						
12	szakközép	férfi				33	15	10	12	-6	0	64	20	22	42						
12	szakközép	férfi				31	4	6	6	-15	0	32	25	25	50						
12	szakközép	férfi				21	3	3	4	-6	-1	24	7	7	14						
12	szakközép	férfi				22	5	7	6	-15	-1	24	7	7	14						
12	szakközép	nő				32	12	18	14	0	0	76	10	10	20						
12	szakközép	férfi				30	12	10	8	-15	0	45	12	14	26						
12	szakközép	férfi				22	4	6	7	-8	0	31	13	12	25						
12	szakközép	férfi				31	15	12	11	-13	-1	55	14	16	30						
12	szakközép	férfi				35	10	8	15	-9	0	59	5	6	11						
12	szakközép	férfi				35	14	13	12	-15	0	59	15	17	32						
12	szakközép	férfi				29	4	5	6	-11	0	33	25	25	50						
12	szakközép	nő				26	2	6	7	-15	0	26	3	3	6						
12	szakközép	férfi				29	6	10	14	-14	0	45	5	7	12						
12	szakközép	nő				30	12	20	19	-5	0	76	12	14	26						
12	szakközép	férfi				30	6	7	9	-1	0	51	10	8	18						
12	szakközép	nő				25	10	14	6	-15	0	40	9	5	14						
12	szakközép	férfi				22	8	8	7	-11	0	34	25	25	50						
12	szakközép	férfi				32	11	10	10	-6	0	57	25	25	50						
12	szakközép	nő				39	18	20	14	-15	0	76	22	22	44						
13	szakközép	férfi				33	3	3	3	-15	0	27	6	5	11						
13	szakközép	férfi				38	18	19	20	-1	0	94	25	25	50						
13	szakközép	nő				33	16	15	15	-15	0	64	20	18	38						
13	szakközép	nő				31	16	17	19	-2	0	81	19	21	40						
13	szakközép	nő				35	20	20	19	-7	0	87	25	25	50						
13	szakközép	nő				28	7	7	12	-5	-1	48	3	5	8						
13	szakközép	nő				31	13	14	15	-14	-1	58	7	8	15						
13	szakközép	nő				21	4	2	3	-13	0	17	11	10	21						
13	szakközép	nő				27	10	12	8	-15	-1	41	6	4	10						
13	szakközép	nő				33	14	8	14	-12	0	57	21	23	44						
13	szakközép	nő				34	13	11	8	-15	-1	50	15	13	28						
13	szakközép	férfi				29	3	2	1	-15	0	20	12	10	22						
13	szakközép	férfi				36	4	8	18	-9	0	57	22	24	46						
13	szakközép	férfi				35	17	8	20	-6	0	74	10	12	22						
13	szakközép	férfi				34	16	8	10	-15	-1	52	16	17	33						
13	szakközép	nő				33	10	10	8	-15	0	46	10	12	22						
12	szakközép	nő				22	12	11	10	-15	0	40	4	3	7						
12	szakközép	nő				29	10	10	10	0	0	59	20	20	40						
12	szakközép	férfi				32	9	7	8	-15	-1	40	3	4	7						
12	szakközép	férfi				32	9	8	11	-15	0	45	15	12	27						
12	szakközép	nő				40	18	19	18	-1	0	94	12	16	28						
12	szakközép	férfi				35	13	9	13	0	0	70	18	20	38						
12	szakközép	nő				35	12	15	15	-5	0	72	25	25	50						
12	szakközép	férfi				31	15	15	15	-2	0	74	24	24	48						
12	szakközép	férfi				38	20	19	16	-13	0	80	24	19	43						
12	szakközép	nő				26	10	11	12	-5	0	54	6	8	14						
12	szakközép	férfi				34	20	20	20	0	0	94	25	25	50						
12	szakközép	nő				27	8	7	4	-15	-1	30	10	8	18						
12	szakközép	nő				38	4	18	17	-7	0	70	14	14	28						
12	szakközép	férfi				35	7	15	17	-4	0	70	18	19	37						
12	szakközép	férfi				31	10	11	12	-10	0	54	8	10	18						
12	szakközép	férfi				29	6	9	11	-11	0	44	6	5	11						
12	szakközép	férfi				27	8	9	10	-15	-1	38	11	12	23						
12	szakközép	férfi				39	13	14	15	0	0	81	17	20	37						
12	szakközép	férfi				28	6	4	5	-15	0	28	10	12	22						
12	szakközép	férfi				27	7	9	10	-6	0	47	17	16	33						
12	szakközép	férfi				23	7	13	13	-15	0	41	13	12	25						
