id	telepules	muvmod	allapot	fedoszint	fekuszint
167	Csorna	külfejtés	M	115,5	103
168	Csorna	külfejtés	M	120	107
169	Csömör	külfejtés	M	249,18	215
170	Csömör	külfejtés	M	246,13	228
174	Dabas	külfejtés	M	98,6	78
176	Darnózseli	külfejtés	M	120	86,91
178	Debrecen	külfejtés	M	114,7	109
179	Délegyháza	külfejtés	M	101,7	80
180	Délegyháza	külfejtés	M	99,2	87,5
181	Délegyháza	külfejtés	M	98,2	87,8
182	Délegyháza	külfejtés	M	100,2	80,7
183	Délegyháza	külfejtés	M	100,3	83,17
184	Délegyháza	külfejtés	M	98,2	87
185	Délegyháza	külfejtés	M	99	86
186	Délegyháza	külfejtés	M	100	89,4
190	Deszk	külfejtés	M	80,16	75,6
191	Dévaványa	külfejtés	M	85,16	72,04
195	Devecser	külfejtés	M	178,3	152
196	Devecser	külfejtés	M	200	163
197	Diszel	külfejtés	M	335	240
199	Dombegyház	külfejtés	M	101	83
200	Dombóvár	külfejtés	M	136,9	119
201	Dorog	külfejtés	M	313,86	145
203	Döbrönte	külfejtés	M	215,18	155
204	Döbrönte	külfejtés	M	230	200
205	Drávapalkonya	külfejtés	M	91,5	86,7
206	Drávaszabolcs	külfejtés	M	92	73
207	Dudar	külfejtés	M	365,2	326,5
208	Dudar	mélyművelés	M	340	139
210	Dunaalmás	külfejtés	M	110,9	95,2
211	Dunabogdány	külfejtés	M	238	120
212	Dunaharaszti	külfejtés	M	109,2	89,3
213	Dunaharaszti	külfejtés	M	105,9	90,7
214	Dunaharaszti	külfejtés	M	102,5	87
215	Dunaharaszti	külfejtés	M	100,5	93
216	Dunakeszi	külfejtés	M	177,6	138
221	Eger	külfejtés	M	509	200
222	Eger	külfejtés	M	242	157
223	Egerbakta	külfejtés	M	300	210
224	Egerszólát	külfejtés	M	241	213
225	Egervölgy	külfejtés	M	197,6	167
226	Egyek	külfejtés	M	92	72
228	Egyházashollós	külfejtés	M	188,9	176
229	Egyházashollós	külfejtés	M	187,5	177
230	Egyházaskesző	külfejtés	M	125	80
231	Egyházaskesző	külfejtés	M	125	97
232	Egyházaskesző	külfejtés	M	126,7	119
233	Elek	külfejtés	M	97,3	86
234	Emőd	külfejtés	M	101	66
235	Emőd	külfejtés	M	99,6	88
236	Emőd	külfejtés	M	101,2	70
239	Epöl	külfejtés	M	198	156
240	Erdőbénye	külfejtés	M	311	240
241	Erdőbénye	külfejtés	M	162,8	138
242	Erdőbénye	külfejtés	M	218,8	120
243	Erdőtelek	külfejtés	M	118	94
244	Érpatak	külfejtés	M	130,8	120
245	Érsekvadkert	külfejtés	M	166	136
246	Etyek	külfejtés	M	249	200
247	Fábiánháza	külfejtés	M	130,1	122
248	Fadd	külfejtés	M	102,8	92
250	Fegyvernek	külfejtés	M	89	84
251	Fehérgyarmat	külfejtés	M	112,25	100
252	Feked	külfejtés	M	251,8	202
253	Felcsút	külfejtés	M	184,9	160
254	Felcsút	külfejtés	M	200	152
255	Felsőcsatár	külfejtés	M	280	235
256	Felsőegerszeg	külfejtés	M	170,4	130
258	Felsőzsolca	külfejtés	M	113	100
259	Fertőrákos	külfejtés	M	188,38	150,96
260	Fertőrákos	külfejtés	M	191	151
261	Fertőrákos	külfejtés	M	191	154
262	Fertőszéplak	külfejtés	M	131,7	115,1
264	Fülöpháza	külfejtés	M	110,8	108,5
265	Füzérkajata	mélyművelés	M	506	405
266	Füzérradvány	külfejtés	M	370,2	316
267	Füzesgyarmat	külfejtés	M	88,1	79,4
272	Ganna	külfejtés	M	225,7	211
273	Gánt	külfejtés	M	210	135
275	Gérce	külfejtés	M	196	96,57
276	Gérce	külfejtés	M	184,5	150
277	Geresdlak	külfejtés	M	260	162
278	Geszt	külfejtés	M	95,2	87,2
280	Göd	külfejtés	M	170	125
281	Göd	külfejtés	M	180	150
284	Gyarmat	külfejtés	M	157	146
285	Gyékényes	külfejtés	M	124,5	95
286	Gyomaendrőd	külfejtés	M	85,9	71,3
287	Gyöngyöspata	külfejtés	M	232	194,5
288	Gyöngyössolymos	külfejtés	M		
289	Gyöngyössolymos	külfejtés	M	352	272
290	Gyöngyöstarján	külfejtés	M	272	209
291	Győr	külfejtés	M	146,4	133
292	Győr	külfejtés	M	142,7	122
293	Győr	külfejtés	M	118	100,97
294	Győr	külfejtés	M	147,5	125
295	Győr	külfejtés	M	136	119
296	Győrújfalu	külfejtés	M	113	74
297	Győrzámoly	külfejtés	M	116	86
298	Győrzámoly	külfejtés	M	113,5	90,7
299	Gyula	külfejtés	M	91,42	83,9
302	Gyula	külfejtés	M	89,73	80
303	Gyulakeszi	külfejtés	M	136,5	106,4
304	Gyüre	külfejtés	M	130,2	111
305	Hahót	külfejtés	M	148	140
306	Hajdúbagos	külfejtés	M	110,2	102
307	Hajdúhadház	külfejtés	M	144	136
308	Hajdúnánás	külfejtés	M	94,6	86
310	Hajdúsámson	külfejtés	M	133,87	125,5
311	Hajdúsámson	külfejtés	M	144,36	134
312	Hajdúszoboszló	külfejtés	M	93,4	88,1
313	Hajmáskér	külfejtés	M	190	168
314	Hajós	külfejtés	M	123	110
317	Hárskút	külfejtés	M	570	510
318	Hatvan	külfejtés	M	115,2	100
319	Hegyeshalom	külfejtés	M	125	81,4
320	Hegyeshalom	külfejtés	M	127,6	93,8
321	Hegyeshalom	külfejtés	M	127,6	102
322	Hejőpapi	külfejtés	M	100	50
323	Hejőpapi	külfejtés	M	100,6	76,4
324	Hejőpapi	külfejtés	M	99,5	55
325	Hejőpapi	külfejtés	M	107	67
326	Helesfa	külfejtés	M	124,3	120
327	Heves	külfejtés	M	112,2	96
328	Hidasnémeti	külfejtés	M	154	140
329	Himesháza	külfejtés	M	207	140
330	Himesháza	külfejtés	M	242	174
331	Himod	külfejtés	M	125,6	112
332	Hird	külfejtés	M	214	170
333	Hódmezővásárhely	külfejtés	M	80	71
334	Hódmezővásárhely	külfejtés	M	80,2	74
335	Hódmezővásárhely	külfejtés	M	82	74
336	Hódmezővásárhely	külfejtés	M	80,3	72,6
338	Homokmégy	külfejtés	M	99	85
342	Hunya	külfejtés	M	90	78,8
343	Igrici	külfejtés	M	101	65
344	Igrici	külfejtés	M	101	65
348	Inota	külfejtés	M	200	138
350	Iszkaszentgyörgy	külfejtés	M	264,8	160
351	Iszkaszentgyörgy	külfejtés	M	255	180
352	Iván	külfejtés	M	154	149
353	Iváncsa	külfejtés	M	98,6	84
354	Izsák	külfejtés	M	116,34	101,5
356	Jánoshalma	külfejtés	M	146,7	139
357	Jánoshalma	külfejtés	M	149,3	136,8
358	Jánossomorja	külfejtés	M	120,5	40
359	Jármi	külfejtés	M	153,6	142
360	Jászberény	külfejtés	M	107,84	101,7
361	Jászberény	külfejtés	M	112,18	98,5
362	Jászberény	külfejtés	M	103,94	96,3
363	Jászkisér	külfejtés	M	88,1	81,5
364	Jászladány	külfejtés	M	87,03	81
365	Jobaháza	külfejtés	M	120	98,29
366	Kál	külfejtés	M	115	107
368	Kamond	külfejtés	M	135	128
369	Kánó	külfejtés	M	323,6	260
370	Kántorjánosi	külfejtés	M	153,71	143
371	Kántorjánosi	külfejtés	M	151,7	140,5
372	Kaposkeresztúr	külfejtés	M	165	130
373	Kapuvár	külfejtés	M	114,7	110,8
374	Karancslapujtő	külfejtés	M	261,2	215
379	Karmacs	külfejtés	M	186	160
380	Kaskantyú	külfejtés	M	111,28	104
383	Kazár	külfejtés	M	342	250
387	Kecskemét	külfejtés	M	122	100
388	Kecskemét	külfejtés	M	125,8	120,5
391	Kemenesmagasi	külfejtés	M	157,1	137
394	Kerekegyháza	külfejtés	M	118,5	112
396	Kerkabarabás	külfejtés	M	180	165
397	Kerkaszentkirály	külfejtés	M	151	140
398	Kerkaszentkirály	külfejtés	M	152	140
399	Keszeg	külfejtés	M	304,5	220
400	Keszthely	külfejtés	M	183	130
401	Keszthely	külfejtés	M	302	234
402	Keszthely	külfejtés	M	288	225
403	Keszthely	külfejtés	M	275	180
404	Keszthely	külfejtés	M	238	170
405	Keszthely	külfejtés	M	121	106
406	Keszthely	külfejtés	M	117	105
407	Kesztölc	külfejtés	M	405	330
408	Kesztölc	külfejtés	M	165,5	150
409	Kétsoprony	külfejtés	M	89,69	80,09
410	Kétsoprony	külfejtés	M	89,39	77
412	Kevermes	külfejtés	M	98,7	81
413	Kimle	külfejtés	M	117,4	82
414	Kincsesbánya	külfejtés	M	145	55
415	Királyszentistván	külfejtés	M	195	167
416	Kisbucsa	külfejtés	M	141,4	136
417	Kisbucsa	külfejtés	M	144	135
423	Kisfalud	külfejtés	M	125	97
424	Kisfalud	külfejtés	M	123,4	95,6
425	Kishajmás	külfejtés	M	230	192
426	Kiskőrös	külfejtés	M	104,7	98,3
427	Kiskunfélegyháza	külfejtés	M	103,1	96,9
428	Kiskunhalas	külfejtés	M	141	133,2
430	Kiskunhalas	külfejtés	M	137,5	130
433	Kiskunlacháza	külfejtés	M	97	78
434	Kiskunlacháza	külfejtés	M	97,2	77,6
435	Kiskunlacháza	külfejtés	M	96,7	83
436	Kiskunlacháza	külfejtés	M	96,7	83
437	Kiskunlacháza	külfejtés	M	97	85,5
438	Kiskunlacháza	külfejtés	M	96,2	84
439	Kiskunlacháza	külfejtés	M	96,5	86,5
440	Kiskunlacháza	külfejtés	M	96,7	78,9
449	Kisnána	külfejtés	M	268	185,6
450	Kisrákos	külfejtés	M	245	229
451	Kistelek	külfejtés	M	93,3	90
452	Kisújszállás	külfejtés	M	87,1	76
455	Kiszombor	külfejtés	M	83,5	71
459	Komló	külfejtés	M	378	195
460	Kondoros	külfejtés	M	84,6	78,1
462	Körmend	külfejtés	M	189,6	177,2
463	Környe	külfejtés	M	160,8	144
464	Kőröshegy	külfejtés	M	161,7	125
466	Körösszegapáti	külfejtés	M	96,5	87,5
471	Kőszárhegy	külfejtés	M	228	125
472	Kőszeg	külfejtés	M	325	265,5
473	Kővágóörs	külfejtés	M	191	158
479	Kunszentmárton	külfejtés	M	85,85	72,8
480	Kunszentmárton	külfejtés	M	83,21	78,5
482	Lábatlan	külfejtés	M	400	220
483	Lábatlan	külfejtés	M	420	250
484	Lábatlan	külfejtés	M	286	248,14
485	Lajosmizse	külfejtés	M	136,9	130
486	Lakitelek	külfejtés	M	106,3	100,2
487	Látrány	külfejtés	M	145,2	133
488	Lázi	külfejtés	M	190	179
489	Lenti	külfejtés	M	183	160
490	Lenti	külfejtés	M	200,9	155,5
491	Lesenceistvánd	külfejtés	M	160	120
492	Lesenceistvánd	külfejtés	M	210	160
493	Lesencetomaj	külfejtés	M	160	126
494	Letenye	külfejtés	M	141	122
495	Levél	külfejtés	M	123,1	72
497	Litér	külfejtés	M	226	179
498	Lókút	külfejtés	M	511	480
500	Lökösháza	külfejtés	M	98,9	76,6
501	Lőrinci		M	189,58	140
502	Ludányhalászi	külfejtés	M	153	145
503	Mád	külfejtés	M	212	125
504	Mád	külfejtés	M	212,5	121,25
505	Mágocs	külfejtés	M	167	160
506	Magy	külfejtés	M	134	125,2
507	Magyaralmás	külfejtés	M	223	160
508	Magyaralmás		M	231,5	120
511	Magyargencs	külfejtés	M	137	130
513	Magyarkeresztúr	külfejtés	M	128,5	88
514	Majosháza	külfejtés	M	99,8	84,6
516	Makó	külfejtés	M	83,7	73,7
518	Mályi	külfejtés	M	220,8	138,5
519	Mándok	külfejtés	M	118,5	103
520	Mány	külfejtés	M	265	180
521	Máriagyüd	külfejtés	M	290	195
522	Máriahalom	külfejtés	M	167	148
523	Márianosztra	külfejtés	M	371	172
524	Máriapócs	külfejtés	M	150	139
525	Márkó	külfejtés	M	298	262
526	Márkó	külfejtés	M	298	262
527	Mátraderecske	külfejtés	M		184
528	Mátraszele	külfejtés	M	335	312
530	Máza	külfejtés	M	168	156
531	Mecseknádasd	külfejtés	M	229	180
536	Mersevát	külfejtés	M	130	124
537	Mesterháza	külfejtés	M	164	152
538	Meszes	külfejtés	M	214,2	170
539	Mezőberény	külfejtés	M	86,86	73,5
540	Mezőberény	külfejtés	M	85,3	75
541	Mezőberény	külfejtés	M	85,4	78,6
542	Mezőcsát	külfejtés	M	98,2	63,9
543	Mezőcsát	külfejtés	M	98,2	66
550	Mezőlak	külfejtés	M	120	115,3
555	Mezőzombor	külfejtés	M	207	120
556	Mezőzombor	külfejtés	M	200	179,17
557	Mihályháza	külfejtés	M	122,8	118,9
559	Mikebuda	külfejtés	M	126,62	123,5
560	Mikepércs	külfejtés	M	108,2	102
562	Miske	külfejtés	M	95	89,5
563	Miskolc	külfejtés	M	115	104,8
564	Miskolc	külfejtés	M	467,9	314
565	Mocsa	külfejtés	M	130	120,8
566	Mocsa	külfejtés	M	132	120
567	Mogyoród	külfejtés	M	255,2	240
568	Monok	külfejtés	M	197,87	143,47
570	Monyoród	külfejtés	M	154,7	139
571	Mór	külfejtés	M	172	159
572	Mór	külfejtés	M	230	196
573	Mórahalom	külfejtés	M	93,4	89,5
574	Mórahalom	külfejtés	M	95,62	88,5
577	Mórahalom	külfejtés	M	107,5	95,5
578	Mosonmagyaróvár	külfejtés	M	120	89
579	Mosonmagyaróvár	külfejtés	M	119,4	89,4
580	Mosonmagyaróvár	külfejtés	M	120,5	68,5
581	Mosonmagyaróvár	külfejtés	M	123	68,5
582	Mosonszolnok	külfejtés	M	121,44	89,95
583	Muhi	külfejtés	M	103,6	65,1
584	Muhi	külfejtés	M	104,6	69,2
585	Murakeresztúr	külfejtés	M	134	115
586	Murakeresztúr	külfejtés	M	135	116,5
587	Muraszemenye	külfejtés	M	149,5	139
588	Nádasd	külfejtés	M	247	225
589	Nádasd	külfejtés	M	251	233
592	Nagyalásony	külfejtés	M	149,8	144
593	Nagyalásony	külfejtés	M	148,9	138,1
595	Nagybajom	külfejtés	M	164	150
599	Nagycenk	külfejtés	M	171,2	158,5
600	Nagydobos	külfejtés	M	137,23	120,5
601	Nagydobos	külfejtés	M	133,21	120,5
602	Nagydorog	külfejtés	M	113,6	93
603	Nagyharsány	külfejtés	M	295	245
607	Nagykálló	külfejtés	M	149	124,8
610	Nagykáta	külfejtés	M	122	116
612	Nagykereki	külfejtés	M	101,1	94
614	Nagykőrös	külfejtés	M	125,1	120,2
617	Nagylóc	külfejtés	M	336,5	250
618	Nagysimonyi	külfejtés	M	195,6	185,6
619	Nagytarcsa	külfejtés	M	192,5	168,1
620	Naszály	külfejtés	M	130	115
621	Nemeskocs	külfejtés	M	130	120
622	Nemesnádudvar	külfejtés	M	91	83,1
623	Nógrádsáp	külfejtés	M	238,1	170
624	Noszvaj	külfejtés	M	377,2	330
625	Nyékládháza	külfejtés	M	112,1	56,1
626	Nyékládháza	külfejtés	M	115,3	58,9
627	Nyékládháza	külfejtés	M	200	155
628	Nyékládháza	külfejtés	M	104,5	82,3
629	Nyergesújfalu	külfejtés	M	450	300
630	Nyíracsád	külfejtés	M	150,23	138
631	Nyirád	külfejtés	M	235	185
632	Nyíradony	külfejtés	M	156	144
633	Nyíregyháza	külfejtés	M	130,54	114,5
634	Nyíregyháza	külfejtés	M	128,68	111
635	Nyíregyháza	külfejtés	M	125,5	113
636	Nyírmada	külfejtés	M	136,2	123
637	Nyírpazony	külfejtés	M	113	100
638	Ócsa	külfejtés	M	98,7	71
639	Ócsa	külfejtés	M	98,6	67,8
642	Onga	külfejtés	M	114,7	96,6
644	Orosháza	külfejtés	M	89,5	74,9
645	Orosháza	külfejtés	M	88,86	77,8
646	Orosháza	külfejtés	M	92,6	83
647	Orosháza	külfejtés	M	89,83	77
648	Orosháza	külfejtés	M	89,44	79,1
649	Orosháza	külfejtés	M	87,4	76,5
650	Ortaháza	külfejtés	M	219	189
652	Ostffyasszonyfa	külfejtés	M	175	120
653	Ózd	külfejtés	M	175,6	160
654	Ölbő	mélyfúrás	M	165	-1730
655	Ölbő	külfejtés	M	164	150
656	Ölbő	külfejtés	M	164	150
657	Ölbő	külfejtés	M	163	153
659	Örménykút	mélyfúrás	M	-3700	-4200
661	Ősi	külfejtés	M	110	101,5
662	Ősi	külfejtés	M	107,7	101,5
663	Öskü	külfejtés	M	178	141
664	Öttevény	külfejtés	M	114	82,25
666	Paks	külfejtés	M	124	105
667	Paks	külfejtés	M	160,5	130
668	Pálháza	külfejtés	M	329	145
669	Páli	külfejtés	M	133	101
670	Pápa	külfejtés	M	248	226,3
671	Pápateszér	külfejtés	M	188,6	172
672	Pápateszér	külfejtés	M	186	163
674	Pátka	külfejtés	M	175	140
675	Pécs	külfejtés	M	233	178
676	Pécs	külfejtés	M	218,5	178
677	Pécs	külfejtés	M	413	376
678	Pécsvárad	külfejtés	M	236,4	188
679	Pécsvárad	külfejtés	M	212,6	194
680	Pellérd	külfejtés	M	160,1	139,5
682	Pétervására	külfejtés	M	268,6	191
684	Pettend	külfejtés	M	125	117
685	Piliscsaba	külfejtés	M	325	262
686	Piliscsaba	külfejtés	M	306	200
687	Piliscsév	külfejtés	M	163	150
688	Pilisvörösvár	külfejtés	M	323	200
689	Pócspetri	külfejtés	M	141,6	126,4
690	Polgárdi	külfejtés	M	228	125
693	Pölöske	külfejtés	M	144,1	137,2
696	Pötréte	külfejtés	M	146	139,5
697	Pula	külfejtés	M	245	170
703	Pusztamiske	külfejtés	M	220	175
704	Pusztamiske	külfejtés	M	215	190
705	Pusztamiske	külfejtés	M	189	135
706	Pusztamiske	külfejtés	M	206	185
711	Püspökmolnári	külfejtés	M	179	161
712	Püspökmolnári	külfejtés	M	184	159,6
713	Rábapatona	külfejtés	M	111	92,6
714	Rábapaty	külfejtés	M	158,4	145,1
715	Rábapaty	külfejtés	M	158,4	145,1
716	Rábatamási	külfejtés	M	118	97,8
717	Rátka	külfejtés	M	144	49
718	Rátka	külfejtés	M	236,1	145,1
719	Rátka	külfejtés	M	267,4	211
720	Rátka		M	152,5	136,32
721	Rátót	külfejtés	M	207,6	189
722	Recsk	mélyművelés	M	215	60
723	Recsk	külfejtés	M	460	345
724	Recsk	külfejtés	M	240,7	145
725	Répcelak	mélyfúrás	M	200	-2500
726	Rezi	külfejtés	M	145,8	128,9
727	Romhány	külfejtés és mélyművelés	M	420	172,5
728	Romhány	külfejtés	M	281	206,1
729	Rozsály	külfejtés	M	121,3	105
730	Röszke	külfejtés	M	89,12	85,61
731	Röszke	külfejtés	M	87,3	82,75
733	Sajóbábony	külfejtés	M	277	212,5
734	Sajógalgóc	külfejtés	M	142,5	131
736	Sajókaza	külfejtés	M	178	78
737	Sajókeresztúr	külfejtés	M	120	110
738	Sajókeresztúr	külfejtés	M	120,5	109,4
739	Sajópetri	külfejtés	M	110	77,7
740	Salgótarján	külfejtés	M	283	210
741	Salomvár	külfejtés	M	242	192
743	Sárbogárd	külfejtés	M	154	100
745	Sárisáp	külfejtés	M		
747	Sárospatak	külfejtés	M	150	93
748	Sárospatak	külfejtés	M	154,5	96,5
749	Sarród	külfejtés	M	115,64	103,84
750	Sáska	külfejtés	M	189,6	165
751	Sátoraljaújhely	külfejtés	M	162,1	137,75
752	Sávoly	külfejtés	M	107,5	103,3
753	Serényfalva	külfejtés	M	183,5	140
754	Siklós	külfejtés	M	309,2	210
755	Siklós	külfejtés	M	235	150
756	Sitke	külfejtés	M	189,5	167
757	Sitke	külfejtés	M	196	129
758	Solt	külfejtés	M	121	95
759	Solt	külfejtés	M	96,84	86
761	Solymár	külfejtés	M	200,1	123
762	Solymár	külfejtés	M	310	253
763	Solymár	külfejtés	M	193	116
765	Somogysámson	külfejtés	M	123,5	94
766	Somogysámson	külfejtés	M	108,55	105,4
768	Somogytúr	külfejtés	M	163,7	146
769	Somogyudvarhely	külfejtés	M	115	100
771	Sopron	külfejtés	M	182,1	164,2
772	Sopron	külfejtés	M	220,4	197,6
773	Sorkifalud	külfejtés	M	191	179
774	Sorkikápolna	külfejtés	M	191	179
775	Sóskút	külfejtés	M	225	150
776	Sóskút	külfejtés	M	175	120
779	Sükösd	külfejtés	M	90,8	86,3
780	Sükösd	külfejtés	M	116,5	107
781	Sükösd	külfejtés	M	116,5	102
782	Sükösd	külfejtés	M	104,46	99
784	Sümeg	külfejtés	M	185	157
785	Sümeg	külfejtés	M	320	230
786	Süttő	külfejtés	M	284	208
787	Szabadbattyán	külfejtés	M	117,6	106
788	Szada	külfejtés	M	210	198
789	Szalkszentmárton	külfejtés	M	97,8	78,4
790	Szalkszentmárton	külfejtés	M	97,91	78,4
791	Szalkszentmárton	külfejtés	M	97,8	79,3
792	Szanda	külfejtés	M	530	373
795	Szany	külfejtés	M	120	108
796	Szárföld	külfejtés	M	126	91,7
797	Szárföld	külfejtés	M	120	97,5
798	Szárföld	külfejtés	M	120,6	97,5
800	Szarvas	külfejtés	M	87	77
801	Szarvas	külfejtés	M	85,36	80
802	Szatymaz	külfejtés	M	86,65	80,9
803	Szécsény	külfejtés	M	258	164,7
806	Szeged	külfejtés	M	83,4	78
809	Szegi	külfejtés	M	355	182
811	Székely	külfejtés	M	116,35	101,5
812	Székesfehérvár	külfejtés	M	134,6	112,8
813	Székesfehérvár	külfejtés	M	170,4	138
814	Székesfehérvár	külfejtés	M	170,4	138
815	Székesfehérvár	külfejtés	M	166	148
816	Szekszárd	külfejtés	M	88	73
817	Szemenye	külfejtés	M	229,5	216
818	Szemenye		M	231	209
819	Szemenye	külfejtés	M	230,7	209,8
820	Szemenye	külfejtés	M	220	213
821	Szentantalfa	külfejtés	M	181	161
822	Szentes	külfejtés	M	83	71,5
823	Szentes	külfejtés	M	92,2	82
824	Szentgál	külfejtés	M	432,8	330
825	Szentgál	külfejtés	M	335	290
827	Szentkirályszabadja	külfejtés	M	286	248
828	Szigetszentmiklós	külfejtés	M	101,9	86,9
829	Szigetszentmiklós	külfejtés	M	103,5	87,5
830	Szigetvár	külfejtés	M	136,1	122
831	Szihalom	külfejtés	M	114	105
832	Szihalom	külfejtés	M	116	101
833	Szil	külfejtés	M	124,7	93,92
834	Szilsárkány	külfejtés	M	126	112
837	Szolnok	külfejtés	M	90,1	85,3
840	Szolnok	külfejtés	M	92,8	85,3
841	Szolnok	külfejtés	M	89,1	84,6
842	Szombathely	külfejtés	M	200	180
