id	kategoria	nev	igid	terulet
87	TT	Dinnyési-fertő Természetvédelmi Terület 	5	529,0
88	TT	Dunaalmási-kőfejtők Természetvédelmi Terület 	5	230,7
89	TT	Dunaszekcsői Löszfal Természetvédelmi Terület 	4	6,8
90	TT	Edelényi magyar nőszirmos Természetvédelmi Terület 	1	3,1
91	TT	Erdőbényei fás legelő Természetvédelmi Terület 	1	214,6
92	TT	Erdőteleki arborétum Természetvédelmi Terület 	3	7,3
93	TT	Erdőtelki-égerláp Természetvédelmi Terület 	3	18,1
94	TT	Érdi Kakukk-hegy Természetvédelmi Terület 	5	9,3
95	TT	Érsekhalmi Hét-völgy Természetvédelmi Terület 	8	26,9
96	TT	Farkasgyepűi kísérleti erdő Természetvédelmi Terület 	2	359,5
97	TT	Fekete-hegy Természetvédelmi Terület 	4	94,6
98	TT	Fényi-erdő Természetvédelmi Terület 	7	297,7
99	TT	Fenyőfői-ősfenyves Természetvédelmi Terület 	2	578,6
100	TT	Fóti-Somlyó Természetvédelmi Terület 	5	217,3
101	TT	Füzérradványi-park Természetvédelmi Terület 	1	159,5
102	TT	Gellérthegy Természetvédelmi Terület 	5	39,7
103	TT	Gödöllői Királyi Kastélypark Természetvédelmi Terület 	5	27,6
104	TT	Gyöngyösi Sár-hegy Természetvédelmi Terület 	3	189,4
105	TT	Hajdúbagosi földikutya-rezervátum Természetvédelmi Terület 	7	265,7
106	TT	Hajósi homokpuszta Természetvédelmi Terület 	8	185,9
107	TT	Hajósi kaszáló és löszpartok Természetvédelmi Terület 	8	123,2
108	TT	Háros-szigeti Ártéri-erdő Természetvédelmi Terület 	5	59,4
109	TT	Hencidai Csere-erdő Természetvédelmi Terület 	7	106,0
110	TT	Hévízi-tó Természetvédelmi Terület 	2	60,7
111	TT	Hódoséri Ciklámenes Természetvédelmi Terület 	2	24,5
112	TT	Ikva-patak menti Természetvédelmi Terület 	6	18,0
113	TT	Ipolytarnóci ősmaradványok Természetvédelmi Terület 	3	509,5
114	TT	Jászszentlászlói Kalmár-erdő Természetvédelmi Terület 	8	8,9
115	TT	Jeli arborétum Természetvédelmi Terület 	10	75,3
116	TT	Jókai-kert Természetvédelmi Terület 	5	3,2
117	TT	Kállósemjéni Mohos-tó Természetvédelmi Terület 	7	95,0
118	TT	Kámoni arborétum Természetvédelmi Terület 	10	25,1
119	TT	Kapszeg-tó Természetvédelmi Terület 	4	158,0
120	TT	Kaszonyi-hegy Természetvédelmi Terület 	7	156,7
121	TT	Kecskeri-puszta Természetvédelmi Terület 	7	1262,7
122	TT	Keleméri mohos tavak Természetvédelmi Terület 	1	56,8
123	TT	Kelemér-Serényfalva Természetvédelmi Terület 	1	331,5
124	TT	Kéleshalmi-homokbuckák Természetvédelmi Terület 	8	176,3
125	TT	Kerecsendi-erdő Természetvédelmi Terület 	3	119,6
126	TT	Keszthelyi-kastélypark Természetvédelmi Terület 	2	8,0
127	TT	Kiskőrösi-turjános Természetvédelmi Terület 	8	641,2
128	TT	Kiskunhalas-Fejetéki Mocsár Természetvédelmi Terület 	8	33,7
129	TT	Kőlyuktető Természetvédelmi Terület 	3	118,2
130	TT	Körmendi-kastélypark Természetvédelmi Terület 	10	37,8
131	TT	Kőszegi-tőzegmohás láp Természetvédelmi Terület 	10	3,8
132	TT	Kunfehértói holdrutás erdő Természetvédelmi Terület 	8	116,4
133	TT	Kunpeszéri Szalag-erdő Természetvédelmi Terület 	8	119,3
134	TT	Látrányi Puszta Természetvédelmi Terület 	2	224,1
135	TT	Liget-patak menti Természetvédelmi Terület 	6	27,6
136	TT	Long erdő Természetvédelmi Terület 	1	1004,7
137	TT	Magyarország földrajzi középpontja Természetvédelmi Terület 	5	4,6
138	TT	Márkházapusztai fás legelő Természetvédelmi Terület 	3	271,7
139	TT	Martonvásári-park Természetvédelmi Terület 	5	69,2
140	TT	Megyaszói-tátorjános Természetvédelmi Terület 	1	35,3
141	TT	Megyer-hegyi Tengerszem Természetvédelmi Terület 	1	1,1
142	TT	Mohácsi történelmi emlékhely Természetvédelmi Terület 	4	7,5
143	TT	Nagybereki Fehér-víz Természetvédelmi Terület 	2	1582,8
144	TT	Nagycenki-hársfasor Természetvédelmi Terület 	6	11,0
145	TT	Nagy-mező, Arany-hegy Természetvédelmi Terület 	4	104,0
146	TT	Nemesmedves történelmi emlékhely Természetvédelmi Terület 	10	58,0
147	TT	Nyirádi Sár-álló Természetvédelmi Terület 	2	396,9
148	TT	Pacsmagi-tavak Természetvédelmi Terület 	4	485,1
149	TT	Pákozdi-ingókövek Természetvédelmi Terület 	5	255,7
150	TT	Pálvölgyi-barlang felszíni védőterülete Természetvédelmi Terület 	5	4,7
151	TT	Pannonhalmi arborétum Természetvédelmi Terület 	6	25,6
152	TT	Peregi Parkerdő Természetvédelmi Terület 	5	11,5
153	TT	Péteri-tavi madárrezervátum Természetvédelmi Terület 	8	780,7
154	TT	Pusztaszeri Fülöpszék Természetvédelmi Terület 	8	41,6
155	TT	Pusztaszeri Hétvezér Emlékmű Természetvédelmi Terület 	8	4,3
156	TT	Rácalmási-szigetek Természetvédelmi Terület 	5	385,8
157	TT	Rétszilasi-tavak Természetvédelmi Terület 	5	1493,8
158	TT	Rinyaszentkirályi-erdő Természetvédelmi Terület 	4	62,8
159	TT	Rudabányai őshominida-lelőhely Természetvédelmi Terület 	1	2,0
160	TT	Sárosfői halastavak Természetvédelmi Terület 	2	267,9
161	TT	Sárvári arborétum Természetvédelmi Terület 	10	9,2
162	TT	Siroki Nyírjes-tó Természetvédelmi Terület 	3	200,6
163	TT	Somlóvásárhelyi Holt-tó Természetvédelmi Terület 	2	15,3
164	TT	Somogyvári Kupavár-hegy Természetvédelmi Terület 	2	29,9
165	TT	Soproni botanikus kert Természetvédelmi Terület 	6	17,3
166	TT	Sóshartyáni Hencse-hegy Természetvédelmi Terület 	3	104,7
167	TT	Sóstó-legelő Természetvédelmi Terület 	1	71,0
168	TT	Sümegi Fehér-kövek Természetvédelmi Terület 	2	307,9
169	TT	Sümegi Mogyorós-domb Természetvédelmi Terület 	2	64,6
170	TT	Szakadáti-legelő Természetvédelmi Terület 	4	1,5
171	TT	Szársomlyói Természetvédelmi Terület 	4	226,0
172	TT	Szarvasi arborétum Természetvédelmi Terület 	9	45,4
173	TT	Szarvasi Történelmi Emlékpark Természetvédelmi Terület 	9	0,7
174	TT	Szeghalmi Kék-tó Természetvédelmi Terület 	9	112,2
175	TT	Székesfehérvári homokbánya Természetvédelmi Terület 	5	120,5
176	TT	Szelestei arborétum Természetvédelmi Terület 	10	15,4
177	TT	Szelidi-tó Természetvédelmi Terület 	8	408,8
178	TT	Szemlőhegyi-barlang felszíni védőterülete Természetvédelmi Terület 	5	1,1
179	TT	Szendrőládi rétek Természetvédelmi Terület 	1	1,5
180	TT	Szentegáti-erdő Természetvédelmi Terület 	4	250,2
181	TT	Szentendrei rózsa termőhelye Természetvédelmi Terület 	5	0,4
182	TT	Szentgáli-tiszafás Természetvédelmi Terület 	2	213,0
183	TT	Szomolyai-kaptárkövek Természetvédelmi Terület 	3	30,9
184	TT	Szőlőskei-erdő Természetvédelmi Terület 	3	26,8
185	TT	Tállyai Patócs-hegy Természetvédelmi Terület 	1	3,2
186	TT	Tapolcafői-láprétek Természetvédelmi Terület 	2	14,2
187	TT	Tapolcai-tavasbarlang felszíni védőterülete Természetvédelmi Terület 	2	1,7
188	TT	Tarcali Turzó-dűlő Természetvédelmi Terület 	1	10,7
189	TT	Tardi-legelő Természetvédelmi Terület 	3	286,0
190	TT	Tatai Kálvária-domb Természetvédelmi Terület 	5	2,8
191	TT	Tiszadobi-ártér Természetvédelmi Terület 	7	1021,2
192	TT	Tiszadorogmai Göbe-erdő Természetvédelmi Terület 	7	172,2
193	TT	Tiszaigari arborétum Természetvédelmi Terület 	7	19,4
194	TT	Tiszakürti Arborétum Természetvédelmi Terület 	7	59,4
195	TT	Tiszatelek-Tiszaberceli-ártér Természetvédelmi Terület 	7	1506,4
196	TT	Tiszavasvári Fehér-szik Természetvédelmi Terület 	7	184,9
197	TT	Turai-legelő Természetvédelmi Terület 	5	13,6
198	TT	Úrkúti-őskarszt Természetvédelmi Terület 	2	5,4
199	TT	Uzsai csarabos erdő Természetvédelmi Terület 	2	110,2
200	TT	Vácrátóti arborétum Természetvédelmi Terület 	5	28,6
201	TT	Vajai-tó Természetvédelmi Terület 	7	76,5
202	TT	Várpalotai homokbánya Természetvédelmi Terület 	2	1,0
203	TT	Velencei-tavi madárrezervátum Természetvédelmi Terület 	5	420,3
204	TT	Vértesszőlősi előembertelep Természetvédelmi Terület 	5	35,1
205	TT	Villányi Templom-hegy Természetvédelmi Terület 	4	3,4
206	TT	Zádor híd környéke Természetvédelmi Terület 	7	88,6
207	TT	Zalakomári madárrezervátum Természetvédelmi Terület 	2	261,6
208	TT	Zirci arborétum Természetvédelmi Terület 	2	18,2
209	TE	Aggtelek-Rudabánya-Szendrői hegység földtani alapszelvényei Természeti Emlék	1	0,0
