szemaz	fognev
366	forgatókönyvíró
366	újságíró
367	író
367	költő
367	politikus
368	író
368	kritikus
369	író
369	költő
369	kritikus
370	dramaturg
370	író
371	író
371	költő
372	költő
372	műfordító
373	író
373	műfordító
374	költő
374	író
375	író
375	újságíró
376	író
376	újságíró
377	író
378	költő
378	műfordító
378	 irodalomszervező
379	filozófus
379	esztéta
380	író
380	költő
380	műfordító
381	költő
381	író
382	író
382	költő
382	műfordító
383	művészettörténész
383	műfordító
383	sinológus
384	író
385	író
385	szerkesztő
386	író
387	író
388	író
388	újságíró
389	író
389	műfordító
390	író
390	újságíró
391	író
391	irodalomtörténész
391	könyvtáros
391	lapszerkesztő
392	író
392	dramaturg
393	irodalomtörténész
394	író
395	író
396	író
397	költő
397	kritikus
398	költő
399	író
399	pedagógus
400	író
400	műfordító
400	szerkesztő
401	költő
401	műfordító
402	író
402	költő
402	műfordító
402	tipográfus
403	irodalomtörténész
403	kritikus
403	műfordító
404	író
404	költő
405	író
405	újságíró
406	költő
406	esszéíró
406	műfordító
407	irodalomtörténész
407	filmtörténész
407	író
407	főiskolai tanár
408	drámaíró
409	irodalomtörténész
409	egyetemi tanár
410	író
410	szerkesztő
411	író
412	irodalomtörténész
412	kritikus
412	költő
413	költő
413	író
414	író
414	politikus
415	szerkesztő
416	költő
416	műfordító
417	író
418	költő
418	szerkesztő
419	költő
419	író
419	műfordító
420	író
420	műfordító
421	író
422	író
423	író
423	műfordító
424	író
424	költő
425	műfordító
425	író
426	író
427	író
427	műfordító
428	irodalomtörténész
428	kritikus
428	egyetemi tanár
429	költő
430	költő
430	műfordító
431	író
431	költő
432	író
432	költő
433	költő
433	irodalomtörténész
434	kritikus
435	költő
435	újságíró
436	író
437	költő
437	író
437	képzőművész
438	költő
438	műfordító
439	költő
440	költő
441	költő
442	író
443	költő
444	irodalomtörténész
445	műfordító
445	esszéista
446	író
446	újságíró
446	irodalomtörténész
447	író
447	szerkesztő
448	költő
448	műfordító
448	újságíró
449	költő
449	műfordító
449	irodalomtörténész
450	műfordító
451	műfordító
451	író
451	kritikus
452	irodalomtörténész
452	kritikus
453	író
453	költő
454	költő
454	műfordító
454	zenekritikus
454	zongoraművész
455	költő
455	műfordító
456	író
456	műfordító
457	költő
457	műfordító
458	költő
458	drámaíró
459	költő
459	elbeszélő
460	irodalomtörténész
460	kritikus
461	író
462	újságíró
462	kritikus
463	irodalomtörténész
463	műfordító
464	író
465	újságíró
465	kabarészerző
466	költő
466	műfordító
466	lapszerkesztő
467	irodalomtörténész
467	kritikus
468	író
468	műfordító
469	költő
470	költő
471	író
471	újságíró
471	műfordító
472	író
472	kritikus
473	író
473	újságíró
474	író
475	költő
475	író
476	író
476	dramaturg
476	szerkesztő
477	író
478	író
479	író
479	újságíró
479	falukutató
480	író
481	költő
481	kritikus
481	irodalomtörténész
481	műfordító
482	költő
482	műfordító
482	író
483	költő
483	író
484	író
484	kritikus
484	művészettörténész
485	író
485	költő
486	költő
487	költő
487	újságíró
488	kritikus
488	irodalomtörténész
489	író
490	költő
491	író
492	költő
493	író
494	író
495	költő
495	író
495	műfordító
496	író
497	író
497	irodalomtörténész
497	egyetemi tanár
498	író
498	műfordító
498	dramaturg
498	irodalomtörténész
499	író
499	kritikus
499	esszéíró
500	költő
500	író
501	kritikus
501	irodalomtörténész
502	író
503	költő
503	műfordító
504	író
504	költő
505	író
506	költő
506	műfordító
507	irodalomtörténész
507	kritikus
507	egyetemi tanár
508	kritikus
508	szerkesztő
509	író
510	író
510	irodalomtörténész
511	költő
512	író
513	író
514	író
515	író
516	író
517	író
517	műfordító
518	költő
519	író
520	irodalomtörténész
520	szerkesztő
520	író
521	irodalomtörténész
521	kritikus
522	műfordító
522	szerkesztő
523	költő
523	műfordító
523	kiadói szerkesztő
524	műfordító
525	irodalomtörténész
525	kritikus
526	író
526	műfordító
527	költő
528	író
528	költő
528	műfordító
529	műfordító
530	újságíró
530	költő
531	irodalomtörténész
531	műfordító
532	költő
533	költő
533	műfordító
533	szerkesztő
534	költő
534	műfordító
534	esztéta
535	író
536	irodalomtörténész
536	esszéista
537	író
537	költő
537	filmrendező
538	szerkesztő
539	író
540	költő
540	egyetemi tanár
541	irodalomtörténész
541	műfordító
542	költő
542	politikus
543	költő
543	műfordító
544	író
544	műfordító
545	költő
546	író
547	irodalomtörténész
547	kritikus
547	diplomata
548	költő
549	író
549	zenetanár
550	író
550	humorista
551	költő
551	esszéíró
552	költő
552	műfordító
553	költő
553	műfordító
554	író
554	költő
554	műfordító
555	író
555	költő
555	műfordító
556	író
556	költő
556	műfordító
557	költő
558	költő
558	műfordító
559	író
559	költő
559	műfordító
560	író
561	író
561	költő
561	műfordító
561	dramaturg
562	író
562	műfordító
563	költő
563	író
563	képzőművész
564	irodalomtörténész
564	kritikus
564	író
565	drámaíró
566	költő
566	műfordító
567	író
568	költő
568	műfordító
568	szociológus
569	író
569	műfordító
570	költő
570	műfordító
571	író
572	irodalomtörténész
572	kritikus
572	egyetemi tanár
573	író
573	műfordító
574	író
575	író
576	irodalomtörténész
577	költő
577	író
577	műfordító
578	gyermek- és ifjúsági író
578	műfordító
579	író
579	költő
579	műfordító
580	író
581	író
581	költő
581	műfordító
582	író
582	költő
582	műfordító
583	író
583	könyvtáros
584	irodalomtörténész
584	kritikus
584	politikus
585	író
585	költő
586	költő
587	költő
587	író
587	műfordító
588	költő
588	műfordító
589	író
589	költő
589	műfordító
590	költő
590	műfordító
591	költő
591	művelődéstörténész
591	dramaturg
592	író
592	költő
592	újságíró
592	műfordító
593	költő
593	kritikus
593	műfordító
594	író
595	költő
595	műfordító
596	író
596	irodalomtörténész
597	író
597	kritikus
597	műfordító
598	író
598	újságíró
599	költő
600	költő
600	politikus
601	író
601	újságíró
602	író
602	dramaturg
603	költő
603	író
603	műfordító
604	író
604	újságíró
605	író
605	költő
606	kritikus
606	irodalomtörténész
607	író
607	költő
608	író
609	költő
609	író
610	író
610	költő
611	író
611	költő
611	műfordító
612	író
612	költő
613	költő
614	irodalomtörténész
614	kritikus
615	író
615	újságíró
616	költő
616	esszéíró
617	irodalomtörténész
617	tudománytörténész
618	író
618	költő
618	műfordító
619	író
619	költő
620	író
620	költő
620	műfordító
621	költő
621	újságíró
622	költő
623	költő
623	műfordító
624	költő
624	író
625	író
625	költő
625	műfordító
626	író
626	irodalomtörténész
626	műfordító
627	író
627	költő
628	író
628	katonatiszt
629	író
629	szociográfus
630	költő
631	költő
631	író
632	költő
