azon	szemaz	ev
434	364	2010
435	365	2004
436	366	1951
437	367	1994
438	368	1997
439	369	1990
440	370	1981
441	371	1975
442	372	1984
443	373	1997
444	374	1960
445	375	1995
446	376	1952
447	376	1951
448	377	1973
449	377	1959
450	377	1953
451	377	1952
452	378	2007
453	379	1951
454	380	1953
455	381	1964
456	382	1993
457	383	1973
458	384	1968
459	385	1995
460	386	2002
461	387	1978
462	387	1973
463	388	1968
464	389	1990
465	390	1972
466	390	1954
467	391	2001
468	392	1998
469	393	2013
470	394	1985
471	395	1959
472	396	1998
473	397	2013
474	398	1990
475	399	1985
476	400	2016
477	401	1955
478	401	1953
479	401	1950
480	402	2000
481	403	1954
482	403	1953
483	404	2005
484	405	1966
485	406	1969
486	407	1979
487	408	2008
488	409	1977
489	410	2004
490	411	1952
491	412	2012
492	413	1994
493	414	1953
494	415	2004
495	416	1989
496	417	1961
497	418	2002
498	419	1985
499	419	1973
500	420	1974
501	421	1967
502	421	1955
503	422	1984
504	423	1981
505	424	1963
506	425	2014
507	426	1967
508	426	1950
509	427	2004
510	428	1962
511	428	1954
512	429	2003
513	430	1990
514	431	1992
515	432	1977
516	433	2012
517	434	2005
518	435	1994
519	436	2003
520	437	1996
521	438	1990
522	439	2013
523	440	1971
524	441	1983
525	442	2008
526	443	2014
527	444	1991
528	445	1992
529	446	2000
530	447	2005
531	448	1973
532	448	1963
533	449	1983
534	450	2005
535	451	2009
536	452	1995
537	453	1968
538	454	1952
539	455	1975
540	455	1963
541	455	1958
542	456	1974
543	457	1988
544	458	1969
545	459	1956
546	460	2002
547	461	1952
548	462	1963
549	463	1988
550	464	1952
551	464	1951
552	464	1950
553	465	1964
554	466	1967
555	467	1992
556	468	2005
557	469	1979
558	470	2014
559	471	1951
560	472	1985
561	473	1951
562	473	1950
563	474	1964
564	474	1956
565	475	1977
566	476	2011
567	477	1954
568	477	1952
569	477	1951
570	478	2004
571	479	1999
572	480	1955
573	481	2006
574	482	2002
575	483	1991
576	484	1988
577	485	1981
578	486	1967
579	486	1954
580	486	1952
581	487	1960
582	488	1990
583	489	1982
584	489	1974
585	490	1974
586	491	1967
587	492	1971
588	492	1954
589	493	2003
590	494	2009
591	495	1966
592	495	1954
593	495	1951
594	495	1950
595	496	1964
596	497	1985
597	498	1982
598	499	1982
599	500	1985
600	501	1972
601	502	1964
602	502	1957
603	503	1954
604	504	1972
605	504	1959
606	505	1950
607	506	2002
608	507	1964
609	507	1959
610	508	1995
611	509	1970
612	510	2000
613	511	2010
614	512	1959
615	513	1959
616	514	1978
617	515	2003
618	516	1988
619	516	1954
620	517	1983
621	517	1953
622	517	1951
623	518	1977
624	518	1968
625	518	1957
626	519	2011
627	520	1987
628	521	1996
629	522	1998
630	523	1984
631	524	2012
632	525	1996
633	526	1977
634	527	2007
635	528	1983
636	529	2007
637	530	1980
638	531	1981
639	532	1995
640	533	2001
641	534	1985
642	535	1990
643	536	2012
644	537	1950
645	538	2004
646	539	1973
647	540	2007
648	541	1974
649	542	1993
650	543	2001
651	544	1957
652	545	2015
653	546	1957
654	547	1999
655	548	1964
656	548	1951
657	549	2014
658	550	1962
659	550	1954
660	551	2009
661	552	1961
662	553	1988
663	554	1975
664	554	1960
665	555	1977
666	555	1969
667	556	1984
668	557	1952
669	557	1951
670	558	1976
671	559	1978
672	560	1997
673	561	1993
674	562	1955
675	562	1953
676	563	2016
677	564	1986
678	565	2007
679	566	2010
680	567	1979
681	567	1961
682	567	1957
683	568	1985
684	569	1988
685	570	2001
686	571	1987
687	571	1971
688	572	1998
689	573	1957
690	573	1954
691	573	1953
692	574	1967
693	574	1958
694	574	1953
695	575	1962
696	576	1960
697	577	1991
698	578	1997
699	579	1975
700	580	1974
701	581	1997
702	582	1984
703	583	1986
704	583	1970
705	584	1964
706	585	1985
707	586	1995
708	587	1974
709	588	2002
710	589	1972
711	590	2000
712	591	1994
713	592	1995
714	593	1993
715	594	1952
716	595	2006
717	596	1976
718	597	1985
719	598	1971
720	599	1978
721	600	1962
722	600	1956
723	601	1976
724	602	1984
725	603	1991
726	604	1973
727	605	1976
728	606	1989
729	607	1989
730	608	2003
731	609	1956
732	610	2005
733	611	1961
734	611	1956
735	611	1951
736	612	1991
737	613	2009
738	614	1995
739	615	1986
740	616	2012
741	617	1992
742	618	1985
743	618	1973
744	619	1965
745	619	1955
746	619	1950
747	620	1955
748	621	1966
749	622	2003
750	623	2008
751	624	2009
752	625	2003
753	626	1988
754	627	1987
755	628	1985
756	629	1998
757	630	1974
758	630	1951
759	631	2009
760	632	2015
