id	nev	nem	szuletett	elhunyt	identitas
83	Gunda Béla	f	1911	1994	
84	Carleson, Lennart Axel Edvard	f	1928		svéd
85	Brentano, Lujo	f	1844	1931	német
86	Csengery János Ferenc	f	1856	1945	
87	Taine, Hippolyte Adolphe	f	1828	1893	francia
88	Pfeffer, Wilhelm	f	1845	1920	német
89	Székács József	f	1809	1876	
90	Józsa János Balázs	f	1957		
91	Salkowski, Ernst Leopold	f	1844	1923	német
92	Hankó Vilmos	f	1854	1923	
93	Szabó András	f	1928	2011	
94	Mátyás Flórián	f	1818	1904	
95	Berde Áron	f	1819	1892	
96	Sándor György / Sandor, George N.	f	1912	1996	amerikai-magyar
97	Sedlmayr Kurt	f	1900	1965	osztrák származású
98	Myrdal, Karl Gunnar	f	1898	1987	svéd
99	Kmoskó Mihály	f	1876	1931	
100	Ponori Thewrewk Emil	f	1838	1917	
101	Liebowitz, Harold	f	1924	2004	amerikai
102	Wälder Gyula	f	1884	1944	
103	Kanjuh, Vladimir I.	f	1929		szerb
104	Vasmer, Max / Vasmer, Makszimilian Romanovics	f	1886	1962	oroszországi német
105	Winkler Lajos	f	1863	1939	
106	Szilágyi Dezső	f	1840	1901	
107	Szabó Miklós, M.	f	1942		
108	Erdélyi János	f	1814	1868	
109	Zaránd Gergely	f	1969		
110	Gelencsér András	f	1966		
111	Davis, Joseph Barnard	f	1801	1881	angol
112	Kocka, Jürgen	f	1941		német
113	Pócs Tamás	f	1933		
114	Teleki József	f	1790	1855	
115	Tigyi József	f	1926	2016	
116	Baldacci, Antonio	f	1867	1950	olasz
117	Szász Károly	f	1865	1950	
118	Gulyás Balázs	f	1956		svédországi magyar
119	Podhorszky Lajos	f	1815	1891	
120	Pilch Jenő	f	1872	1937	
121	Borhidi Attila	f	1932		
122	Lelley Jan Iván	f	1938		németországi magyar
123	Mortier, Roland	f	1920	2015	belga
124	Giljarov, Merkurij Szergejevics	f	1912	1985	orosz
125	Miklósi Ádám	f	1962		
126	Wéber György / Weber, George	f	1922	2011	amerikai-magyar
127	Prónay Sándor	f	1760	1839	
128	Kosztyuk, Platon Grigorjevics	f	1924	2010	ukrán
129	Csiba László	f	1952		
130	Thiers, Adolphe	f	1797	1877	francia
131	Borsos Balázs	f	1961		
132	Fábián Gábor	f	1795	1877	
133	Thomas, John Meurig	f	1932		walesi
134	Giesswein Sándor	f	1856	1923	
135	Jánosi Béla	f	1857	1921	
136	I. Albert	f	1848	1922	monacói
137	Nyeszmejanov, Alekszandr Nyikolajevics	f	1899	1980	orosz
138	Bolgár Elek	f	1883	1955	
139	Ipolyi Arnold	f	1823	1886	
140	Ábrahám Ambrus Andor	f	1893	1989	
141	Biró Péter	f	1930		
142	Szalai Júlia	n	1948		
143	Garay János	f	1812	1853	
144	Fésüs László	f	1947		
145	Schréter Zoltán	f	1882	1970	
146	Menyhárth Gáspár	f	1868	1940	
147	Dobrzański, Bohdan	f	1909	1987	lengyel
148	Gabelentz, Georg von der	f	1840	1893	német
149	Sievers, Eduard	f	1850	1932	német
150	Went István	f	1899	1963	
151	Sályi Gyula	f	1903	1982	
152	Pápay Gyula	f	1939		németországi magyar
153	Szalay Imre	f	1787	1848	
154	Balogh Sámuel	f	1796	1867	
155	Kápolnai Pauer István	f	1833	1896	
156	Róbert László	f	1924	2018	franciaországi magyar
157	Mössbauer, Rudolf Ludwig	f	1929	2011	német
158	Eötvös József	f	1813	1871	
159	Schott, Wilhelm	f	1802	1889	német
160	Csibi Sándor	f	1927	2003	
161	Mommsen, Theodor	f	1817	1903	német
162	Kende Péter	f	1927		
163	Szamarin, Alekszandr Mihajlovics	f	1902	1970	orosz
164	Beale, Hugh	f	1948		angol
165	Stumpers, Frans	f	1911	2003	holland
166	Vadnai Károly	f	1832	1902	
167	Szilády Áron	f	1837	1922	
168	Radnóti Sándor	f	1946		
169	Horváth Jenő	f	1852	1915	
170	Cotta, Carl Bernhard von	f	1808	1879	német
171	Grabmann, Martin	f	1875	1949	német
172	Sárközy András	f	1941		
173	Vitković, Gavrilo	f	1830	1902	szerb
174	Lister, Joseph	f	1827	1912	angol
175	Debreczeni Attila	f	1959		
176	Khuen-Héderváry Károly	f	1849	1918	
177	Korinek László	f	1946		
178	Ramstedt, Gustaf John	f	1873	1950	finnországi svéd
179	Stein, Ludwig	f	1859	1930	magyar származású német
180	Mihalkovics Géza	f	1844	1899	
181	Malissa, Hanns	f	1920	2010	osztrák
182	Somssich Pongrác	f	1788	1849	
183	Császár Elemér	f	1891	1955	
184	Áprily Lajos	f	1887	1967	
185	Kreybig Lajos	f	1879	1956	
186	Fáy András	f	1786	1864	
187	Rau, Karl Heinrich	f	1792	1870	német
188	Fodor József	f	1843	1901	
189	Maliga Pál	f	1946		amerikai-magyar
190	Zelovich Kornél	f	1869	1935	
191	Poór Imre	f	1823	1897	
192	Kerecsényi Dezső	f	1898	1945	
193	Friedmann Imre	f	1921	2007	amerikai-magyar
194	Tusnády Gábor	f	1941		
195	Schell, Jozef Stefaan	f	1935	2003	belga
196	Hoffmann István	f	1953		
197	Zichy István	f	1879	1951	
198	Rebek, Julius	f	1944		amerikai-magyar
199	Poszler György	f	1931	2015	
200	Gombocz Endre	f	1882	1945	
201	Szabó Zoltán Gábor	f	1908	1995	
202	Marczali Henrik	f	1856	1940	
203	Hasenfratz Péter	f	1946	2016	svájci magyar
204	Winter Ernő	f	1897	1971	
205	Fettweis, Günter B.	f	1924	2018	osztrák
206	Tóth Ágoston Rafael	f	1812	1889	
207	Csermely Péter	f	1958		
208	Sakmann, Bert	f	1942		német
209	Dohovics Vazul	f	1783	1849	
210	Melich János	f	1872	1963	
211	Antoni Ferenc	f	1928	1991	
212	Nopcsa Ferenc	f	1877	1933	
213	Sauvageot, Aurélien	f	1897	1988	francia
214	Péntek János	f	1941		romániai magyar
215	Zažímalová, Eva	n	1955		cseh
216	Fayer László	f	1842	1906	
217	Jendrassik Jenő	f	1824	1891	
218	Csáky Móric	f	1936		ausztriai magyar
219	Bierwisch, Manfred	f	1930		német
220	Szemerényi Oszvald	f	1913	1996	
221	Lenhossék József	f	1818	1888	
222	Pálos Ádám László	f	1912	1983	
223	Bopp, Franz	f	1791	1867	német
224	Margó Tivadar	f	1816	1896	
225	Kertész János	f	1950		
226	Inczédy János	f	1923	2012	
227	Pukánszky Béla	f	1950		
228	Ráth Károly	f	1829	1868	
229	Zoltai Tibor	f	1925	2003	amerikai-magyar
230	Németh Tamás	f	1952		
231	Szabó Imre	f	1912	1991	
232	Bohr, Niels	f	1885	1962	dán
233	Szarka László	f	1954		
234	Dausset, Jean-Baptiste-Gabriel-Joachim	f	1916	2009	francia
235	Thirring, Walter	f	1927	2014	osztrák
236	Török László	f	1941		
237	Lenhossék Mihály	f	1863	1937	
238	Pauler Ákos	f	1876	1933	
239	Pozsgay Vince	f	1946		amerikai-magyar
240	Hadzsiolov, Aszen Ivanov	f	1903	1996	bolgár
241	Tóth József	f	1933		kanadai magyar
242	Flourens, Marie-Jean-Pierre	f	1794	1867	francia
243	Ebers, Georg	f	1837	1898	német
244	Wellmann Imre	f	1909	1994	
245	Maucha Rezső	f	1884	1962	
246	Herzog József	f	1880	1941	
247	Suphi bég	f		1886	török
248	Kálmán Rudolf Emil / Kalman, Rudolf E.	f	1930	2016	amerikai-magyar
249	Mościcki, Ignacy	f	1867	1946	lengyel
250	Nielsen, Konrad	f	1875	1953	norvég
251	Rapcsák András	f	1914	1993	
252	Wiklund, Karl Bernhard	f	1868	1934	svéd
253	Zemann, Josef	f	1923		osztrák
254	Schlauch Lőrinc	f	1824	1902	
255	Haidinger, Wilhelm Karl	f	1795	1871	osztrák
256	Fettich Nándor	f	1900	1971	
257	Veisz Ottó	f	1955		
258	Pallagyin, Alekszandr Vlagyimirovics	f	1885	1972	orosz
259	Fenzl, Eduard	f	1808	1879	osztrák
260	Halász Géza	f	1816	1888	
261	Schiller, Peter H.	f	1931		német
262	Békefi Remig	f	1858	1924	
263	Görög Sándor	f	1933		
264	Révész Imre	f	1826	1881	
265	Pándi Pál	f	1926	1987	
266	Kétly Károly	f	1839	1927	
267	Török Aurél	f	1842	1912	
268	Kosztarab Mihály / Kosztarab, Michael	f	1927		amerikai-magyar
269	Pungor Ernő	f	1923	2007	
270	Wiedemann, Alfred	f	1856	1936	német
271	Tallgren, Aarne Michaël	f	1885	1945	finn
272	Mosonyi Emil	f	1910	2009	
273	Jakabházy Zsigmond	f	1867	1945	
274	Teza, Emilio	f	1831	1912	olasz
275	Fonyó Zsolt	f	1943	2005	
276	Lénárd László	f	1944		
277	Kuncz Ödön	f	1884	1965	
278	Nagy Péter	f	1920	2010	
279	Bárdos Tamás / Bardos, Thomas J.	f	1915	2012	amerikai-magyar
280	Bruner, Jerome Seymour	f	1915	2016	amerikai
281	Petényi Salamon János	f	1799	1855	
282	Horvát Árpád	f	1820	1894	
283	Palotai József	f	1806	1867	
284	Nyikolszkij, Szergej Mihajlovics	f	1905	2012	orosz
285	Bene Ferenc	f	1775	1858	
286	Nagy István	f	1931	2015	
287	György Lajos	f	1890	1950	romániai magyar
288	Hauszmann Alajos	f	1847	1926	
289	Vahlquist, Bo Conradsson	f	1909	1978	svéd
290	Debye, Peter Joseph William	f	1884	1966	amerikai-holland
291	Hintikka, Jaakko	f	1929	2015	finn
292	Zrínyi Miklós	f	1949		
293	Kautz Gyula	f	1829	1909	
294	Suhayda János	f	1818	1881	
295	Bócsa Iván	f	1926	2007	
296	Kékedy László	f	1920	2004	romániai magyar
297	Dobozy Attila	f	1939		
298	Hangody László	f	1958		
299	Jánossy Lajos	f	1912	1978	
300	Lewes, George Henry	f	1817	1878	angol
301	Gellman, Samuel	f	1955		amerikai
302	Endrődi Sándor	f	1850	1920	
303	Laurent, Torvard	f	1930	2009	svéd
304	Salomaa, Arto	f	1934		finn
305	Vicsek Tamás	f	1948		
306	Csörnyei Marianna	n	1975		amerikai-magyar
307	Keszthelyi Lajos	f	1927		
308	Gajzágó László	f	1883	1953	
309	Péczely József	f	1789	1849	
310	Szász Domokos	f	1941		
311	Domokos Gábor	f	1933		amerikai-magyar
312	Kovács Kálmán	f	1926		kanadai magyar
313	Székely György	f	1926	2017	
314	Tessedik Ferenc	f	1800	1844	
315	Kovács Pál	f	1808	1886	
316	Rényi Alfréd	f	1921	1970	
317	Millner Tivadar	f	1899	1988	
318	Burger Kálmán	f	1929	2000	
319	Nagy Béla	f	1941		
320	Waldeyer-Hartz, Heinrich Wilhelm Gottfried von	f	1836	1921	német
321	Simor János	f	1813	1891	
322	Tisza Kálmán	f	1830	1902	
323	Srbik, Heinrich von	f	1878	1951	osztrák
324	Kovács Zoltán	f	1960		
325	Maulde-La-Clavière, René	f	1848	1902	francia
326	Kerisel, Jean	f	1908	2005	francia
327	Dussieux, Louis	f	1815	1894	francia
328	Voinovich Géza	f	1877	1952	
329	Antal Mihály	f	1792	1850	
330	Dorner József	f	1808	1873	
331	Bosworth, Clifford Edmund	f	1928	2015	angol
332	Baló József	f	1895	1979	
333	Nagy László	f	1966		
334	Gyulai Zoltán	f	1887	1968	
335	Fellegi Iván Péter	f	1935		kanadai magyar
336	Pekár Gyula	f	1867	1937	
337	Hunfalvy Pál	f	1810	1891	
338	Kniezsa István	f	1898	1965	
339	Székely István	f	1861	1927	
340	Lónyay Menyhért	f	1822	1884	
341	Spät András	f	1940		
342	Podmaniczky Géza	f	1839	1923	
343	Benedek József	f	1969		romániai magyar
344	Schlesinger Lajos	f	1864	1933	
345	Lapis Károly	f	1926		
346	Török József	f	1813	1894	
347	Kosutány Tamás	f	1848	1915	
348	Ernszt, Lev Konsztantyinovics	f	1929	2012	orosz
349	Makkai Mihály	f	1939		kanadai magyar
350	Che, Michel	f	1941		francia
351	Keményfy János	f	1875	1943	
352	Schumann, Richard	f	1864	1945	német
353	Schügerl Károly / Schügerl, Karl	f	1927	2018	németországi magyar
354	Kováts Ferenc	f	1873	1956	
355	Bartók Béla	f	1881	1945	
356	Hacsaturov, Tigran Szergejevics	f	1906	1989	orosz
357	Mello, Craig C.	f	1960		amerikai
358	Szőllősy Ferenc	f	1796	1854	
359	Méhes Sámuel	f	1785	1852	
360	Gegő Elek	f	1805	1844	
361	Mikó Imre	f	1805	1876	
362	Csákiné Michéli Erika	n	1959		
363	Fényes Elek	f	1807	1876	
364	Mészáros János	f	1927	2018	
365	Hanák Péter	f	1921	1997	
366	Gergely Pál István	f	1947		
367	Gelei József	f	1754	1838	
368	Korponay János	f	1819	1881	
369	Csáki Frigyes	f	1921	1977	
370	Vámos Tibor	f	1926		
371	Szászy Béla	f	1865	1931	
372	Hajnal András	f	1931	2016	
373	Brusa, Emilio	f	1843	1908	olasz
374	Tóth Sándor	f	1828	1862	
375	Kövér György	f	1949		
376	Solymosi Frigyes	f	1931	2018	
377	Theiner, Augustin	f	1804	1874	német
378	Nurse, Paul	f	1949		angol
379	Laky Dezső	f	1887	1962	
380	Cocking, Edward Charles Daniel	f	1931		angol
381	Jobst Kázmér	f	1924	2016	
382	Takács László Kristóf	f	1955		franciaországi magyar
383	Snouck Hurgronje, Christiaan	f	1857	1936	holland
384	Nernst, Walther Hermann	f	1864	1941	német
385	Kuti Gyula / Kuti, Julius	f	1940		amerikai-magyar
386	Curtius, Georg	f	1820	1885	német
387	Szécsen Antal	f	1819	1896	
388	Ascherson, Paul	f	1834	1913	német
389	Knözinger, Helmut	f	1935	2014	német
390	Möller István	f	1860	1934	
391	Duby, Georges	f	1919	1997	francia
392	Huszár Rudolf	f	1941		amerikai-magyar
393	Szilágyi István	f	1819	1897	
394	Darboux, Jean Gaston	f	1842	1917	francia
395	Hersko, Avram	f	1937		izraeli magyar
396	Gáspár Péter	f	1960		
397	Szádeczky-Kardoss Lajos	f	1859	1935	
398	Papp Ferenc	f	1930	2001	
399	Tietze, Lutz F.	f	1942		német
400	Férussac, André Étienne d’Audebert de	f	1786	1836	francia
401	Hottovy Tibor	f	1923	2017	svédországi magyar
402	Bay Zoltán	f	1900	1992	
403	Issekutz Béla	f	1886	1979	
404	Riedl Frigyes	f	1856	1921	
405	Tomcsányi Móric	f	1878	1951	
406	Schmidt János	f	1935		
407	Kolbenheyer Tibor	f	1917	1993	szlovákiai magyar
408	Péceli Gábor	f	1950		
409	Wlassics Gyula	f	1852	1937	
410	Jalava, Antti Fredrik	f	1846	1909	finn
411	Chantre, Ernest	f	1843	1924	francia
412	Zichy Gyula	f	1871	1942	
413	Hazay István	f	1901	1995	
414	Mócsy János	f	1895	1976	
415	Döme Károly	f	1768	1845	
416	Grunert, Johann August	f	1797	1872	német
417	Kelemen János	f	1943		
418	Pavláth E. Attila	f	1930		amerikai-magyar
419	Iliev, Ljubomir	f	1913	2000	bolgár
420	Kropf Lajos	f	1852	1939	nagy-britanniai magyar
421	Birk, Ernest	f	1810	1891	osztrák
422	Schey János	f	1922	2010	kanadai magyar
423	Wieseler, Friedrich Julius August	f	1811	1892	német
424	Zilahy Lajos	f	1891	1974	
425	Tuzson János	f	1870	1943	
426	Kraszovszkij, Nyikolaj Nyikolajevics	f	1924	2012	orosz
427	Dessewffy Emil	f	1814	1866	
428	Sperlágh Beáta	n	1963		
429	Aganbegjan, Abel Gezevics	f	1932		örmény-orosz
430	Wach, Adolf	f	1843	1926	német
431	Boskovits Miklós	f	1935	2011	olaszországi magyar
432	Noe, Christian	f	1947		osztrák
433	Akin Károly	f	1830	1893	
434	Somlyódy László	f	1943		
435	Horváth János	f	1878	1961	
436	Rozlozsnik Pál	f	1880	1940	
437	Sántha Kálmán	f	1903	1956	
438	Sótonyi Péter	f	1938		
439	Sági István	f	1882	1950	
440	Várdy Béla	f	1935	2018	amerikai-magyar
441	Haszpra Ottó	f	1928	2012	
442	Falus András	f	1947		
443	Záborszky László	f	1944		amerikai-magyar
444	Horn Artúr	f	1911	2003	
445	Bárány Imre	f	1947		
446	Stammler, Rudolf	f	1856	1938	német
447	Boutroux, Étienne Émile Marie	f	1845	1921	francia
448	Riederer, Peter Franz	f	1942		német
449	Faigel Gyula	f	1954		
450	Jakab Elek	f	1820	1897	
451	Rienäcker, Günther	f	1904	1989	német
452	Béll Béla	f	1908	1988	
453	Kerkapoly Károly	f	1824	1891	
454	Salánki János	f	1929	2003	
455	Horváth Zsigmond	f	1782	1845	
456	Czuczor Gergely	f	1800	1866	
457	Pontrjagin, Lev Szemjonovics	f	1908	1988	orosz
458	Moór Gyula	f	1888	1950	
459	Magda Pál	f	1770	1841	
460	Kalmár László	f	1905	1976	
461	Kós Károly	f	1919	1996	romániai magyar
462	Fritz József	f	1943		
463	Péterfi Károly	f	1790	1873	
464	Heyrovský, Jaroslav	f	1890	1967	cseh
465	Felinger Attila	f	1961		
466	Boltzmann, Ludwig Eduard	f	1844	1906	osztrák
467	Haynald Lajos	f	1816	1891	
468	Jakab István	f	1798	1876	
469	Horváth István Tamás	f	1953		Hong Kong-i magyar
470	Szűcs András	f	1950		
471	Friedlander, Gerhart	f	1916	2009	amerikai-német
472	Pulay Péter	f	1941		amerikai-magyar
473	Diehl, Volker	f	1938		német
474	Németh Sándor	f	1938		romániai magyar
475	Beloch, Karl Julius	f	1854	1929	német
476	Salençon, Jean	f	1940		francia
477	Tamási Áron	f	1897	1966	
478	Du Bois, William Edward Burghardt	f	1868	1963	amerikai
479	Somogyi Árpád	f	1937		németországi magyar
480	Lihacsov, Dmitrij Szergejevics	f	1906	1999	orosz
481	Thorgeirsson, Snorri S.	f	1941		amerikai-izlandi
482	Snatzke, Günther	f	1928	1992	osztrák
483	Dohy János	f	1934	2002	
484	Herzberg, Gerhard	f	1904	1999	kanadai
485	Deák Ferenc	f	1803	1876	
486	Vachott Sándor	f	1818	1861	
487	Szolcsányi János	f	1938	2018	
488	Magyary-Kossa Gyula	f	1865	1944	
489	Karger, Barry L.	f	1939		amerikai
490	Ránki György	f	1930	1988	
491	Istvánffi Gyula	f	1860	1930	
492	Collinder, Björn	f	1894	1983	svéd
493	Cajander, Aimo Kaarlo	f	1879	1943	finn
494	Kégl Sándor	f	1862	1920	
495	Donner, Otto	f	1835	1909	finn
496	Friedrich, Walter	f	1883	1968	német
497	Daim, Falko	f	1953		osztrák
498	Rodenwaldt, Gerhard	f	1886	1945	német
499	Tóth Dezső	f	1925	1985	
500	Pósfai Mihály	f	1963		
501	Miklošič, Franc	f	1813	1891	szlovén
502	Nyáry Jenő	f	1836	1914	
503	Planck, Max	f	1858	1947	német
504	Dikov, Ljuben	f	1895	1973	bolgár
505	Szekfű Gyula	f	1883	1955	
506	Váczy János	f	1859	1918	
507	Rajka Ödön	f	1890	1971	
508	Tüdős Ferenc	f	1931	1998	
509	Barnabás Beáta Mária	n	1948		
510	Hatvani László	f	1943		
511	Gyermek László	f	1926	2017	amerikai-magyar
512	Lamprecht, Karl Gotthard	f	1856	1915	német
513	Schuchardt, Hugo	f	1842	1927	német
514	Pitajevszkij, Lev Petrovics	f	1933		orosz
515	Széll Kálmán	f	1843	1915	
516	Fokos-Fuchs Dávid	f	1884	1977	
517	Alföldi Lajos	f	1927		
518	Karádi Gábor / Karadi, Gabor M.	f	1924	2018	amerikai-magyar
519	Hudecz Ferenc	f	1952		
520	Hoffner József	f	1794	1841	
521	Dudits Dénes	f	1943		
522	DuPonceau, Peter Stephen	f	1760	1844	amerikai-francia
523	Gryglewski, Ryszard	f	1932		lengyel
524	Schönherr Gyula	f	1864	1908	
525	Plate, Ludwig	f	1862	1937	német
526	Varga József	f	1891	1956	
527	Butler, Edward Dundas	f	1842	1919	angol
528	Tőkei Ferenc	f	1930	2000	
529	Angyalffy Mátyás András	f	1776	1839	
530	Neniţescu, Costin D.	f	1902	1970	román
531	Beöthy Zsolt	f	1848	1922	
532	Noether, Max	f	1844	1921	német
533	Cayley, Arthur	f	1821	1895	angol
534	Thierry, Amédée Simon Dominique	f	1797	1873	francia
535	Hazai György	f	1932	2016	
536	Polónyi István	f	1930		németországi magyar
537	Reményi Károly	f	1934		
538	Kennedy P. József	f	1928		amerikai-magyar
539	Kádár Béla	f	1934		
540	Tuschák Róbert	f	1927	2018	
541	Atkinson, Edwin Felix Thomas	f	1840	1890	ír
542	Thomsen, Vilhelm	f	1842	1927	dán
543	Demain, Arnold L.	f	1927		amerikai
544	Kolosváry Sándor	f	1840	1922	
545	Gorove László	f	1780	1839	
546	Raven, Peter H.	f	1936		amerikai
547	Maggiorotti, Leone Andrea	f	1860	1940	olasz
548	Patthy László	f	1943		
549	Imre Sándor	f	1820	1900	
550	Dézsi Lajos	f	1868	1932	
551	Bunyitay Vince	f	1837	1915	
552	Fekete Jenő	f	1880	1943	
553	Schleicher, August	f	1821	1868	német
554	Streissler, Erich Wolfgang	f	1933		osztrák
555	Kolumbán József	f	1935		romániai magyar
556	Nemecz Ernő	f	1920		
557	Pécsi Márton	f	1923	2003	
558	Kiss László / Kish, Leslie	f	1910	2000	amerikai-magyar
559	Simonyi Károly / Simonyi, Charles	f	1948		amerikai-magyar
560	Jánossy Andor	f	1908	1975	
561	Berzeviczy Vince	f	1781	1834	
562	Eörsi Gyula	f	1922	1992	
563	Horn, Émile	f	1858	1937	francia
564	Lovász László	f	1948		
565	Soltész Iván	f	1964		amerikai-magyar
566	Szegedy Ferenc	f	1787	1848	
567	Köteles Sámuel	f	1770	1831	
568	Roska Tamás	f	1940	2014	
569	Tóth Miklós	f	1950		
570	Szentágothai János	f	1912	1994	
571	Evans, Robert John Weston	f	1943		angol
572	Rajki Sándor	f	1921	2007	
573	Lönnrot, Elias	f	1802	1884	finn
574	Mandl Lajos / Mandl, Louis	f	1812	1881	franciaországi magyar
575	Nowotny, Hans	f	1911	1996	osztrák
576	Blaskó Gábor	f	1950		
577	Förster Aurél	f	1876	1962	
578	Láng Adolf Ferenc	f	1795	1863	
579	Fabritius, Karl	f	1826	1881	
580	Lobanov, Pavel Pavlovics	f	1902	1985	orosz
581	Győrffy Barna	f	1911	1970	
582	Schenek István	f	1830	1909	
583	Pesty Frigyes	f	1823	1889	
584	Gamkrelidze, Tamaz	f	1929		grúz
585	Lukács Móric	f	1812	1881	
586	Wetzel, Robert G.	f	1936	2005	amerikai
587	Japikse, Nicolas	f	1872	1944	holland
588	Kováts Mihály	f	1762	1851	
589	Parieu, Félix Esquirou de	f	1815	1893	francia
590	Bolte, Johannes	f	1858	1937	német
591	Uray Zoltán	f	1931		romániai magyar
592	Balás Károly Antal	f	1877	1961	
593	Rusznyák István	f	1889	1974	
594	Bella Lajos	f	1850	1937	
595	Nagy László	f	1961		romániai magyar
596	Pflüger, Eduard	f	1829	1910	német
597	Sitkei György	f	1931		
598	Schleich, Wolfgang	f	1957		német
599	Balla Károly	f	1792	1873	
600	Péter Mihály Heinrich	f	1929		romániai magyar
601	Berde Botond	f	1919	2014	svájci magyar
602	Ivánka Endre	f	1902	1974	
603	Bársony István	f	1948		
604	Vámbéry Ármin	f	1832	1913	
605	Romwalter Alfréd	f	1890	1954	
606	Balassa János	f	1814	1868	
607	Habsburg József Ágost főherceg	f	1872	1962	
608	Staden, Johannes van	f	1939		dél-afrikai
609	Prohászka Ottokár	f	1858	1927	
610	Hajnal Zoltán	f	1933		kanadai magyar
611	Láng Nándor	f	1871	1952	
612	Tóth Kálmán	f	1831	1881	
613	Babbage, Charles	f	1791	1871	angol
614	Réthy László	f	1851	1914	
615	Hajnik Imre	f	1840	1902	
616	Vaszary Kolos	f	1832	1915	
617	Kapolyi László	f	1932	2014	
618	Balla Antal	f	1886	1953	
619	Nusser Zoltán	f	1968		
620	Tarján Gusztáv	f	1907	1998	
621	Demetrovics János	f	1946		
622	Barbier de Meynard, Charles	f	1826	1908	francia
623	Vörösmarty Mihály	f	1800	1855	
624	Nagy Ferenc	f	1852	1928	
625	Marosi Ernő	f	1940		
626	Róna-Tas András	f	1931		
627	Lipthay Sándor	f	1847	1905	
628	Kulcsár Szabó Ernő	f	1950		
629	Boué, Ami	f	1794	1881	osztrák
630	Solymosi László	f	1944		
631	Szigligeti Ede	f	1814	1878	
632	Stáhly Ignác	f	1787	1849	
