id	tagid	tipus	ev
918	1894	r	1858
919	2032	r	1995
920	648	t	1970
921	2135	t	1913
922	1544	t	1986
923	2028	r	1985
924	2465	r	1982
925	1961	l	1947
926	1909	l	1833
927	244	l	1945
928	401	k	1990
929	2551	l	2004
930	3042	r	1982
931	2560	k	1993
932	2567	l	1902
933	308	l	1942
934	1718	r	1979
935	3211	r	1830
936	1723	t	1986
937	1997	l	1934
938	3092	t	1986
939	2907	t	1878
940	1824	l	2001
941	2639	l	1877
942	8	r	1894
943	2759	l	1902
944	2295	r	1883
945	2207	t	2007
946	1078	l	1945
947	267	l	1892
948	3191	t	1899
949	1760	l	1847
950	1790	r	1990
951	135	l	1902
952	3102	l	1867
953	943	k	1995
954	3143	l	1990
955	1510	r	1893
956	1206	l	1949
957	1281	k	1928
958	307	l	1982
959	2067	t	1872
960	1753	l	1863
961	2147	k	2001
962	3220	l	1889
963	2904	k	2010
964	1460	l	1976
965	590	k	1928
966	626	l	1990
967	646	l	2001
968	1523	k	1998
969	407	t	1979
970	956	t	2010
971	450	l	1870
972	2563	l	1931
973	2777	r	2016
974	29	r	1998
975	2668	r	1835
976	2494	r	1998
977	178	t	1932
978	3208	l	1911
979	1845	k	2004
980	1248	k	1993
981	1896	r	1910
982	668	r	2013
983	448	t	2007
984	266	l	1897
985	1979	r	1870
986	702	t	1858
987	2230	l	1908
988	3134	l	1841
989	86	r	1920
990	993	l	1976
991	1976	l	1908
992	2500	l	1987
993	1200	l	1858
994	2024	r	2001
995	625	r	2001
996	393	l	1846
997	2469	r	1998
998	2869	t	2007
999	1922	t	1967
1000	905	l	1899
1001	2153	t	1882
1002	1552	l	1883
1003	913	t	1841
1004	655	t	1981
1005	2100	l	1973
1006	1887	t	1939
1007	1762	l	1927
1008	1245	r	1995
1009	2554	l	1973
1010	437	r	1946
1011	414	r	1946
1012	14	r	2013
1013	524	l	1896
1014	2080	r	1885
1015	2250	r	1861
1016	2228	l	1884
1017	2998	l	1863
1018	707	k	1998
1019	1878	l	1897
1020	20	t	1998
1021	2133	t	1894
1022	196	l	2019
1023	685	l	1930
1024	206	l	1871
1025	2404	l	1831
1026	1545	t	2004
1027	1764	l	1998
1028	859	l	1962
1029	1371	l	1865
1030	1219	k	2013
1031	684	l	1987
1032	379	r	1946
1033	2608	t	2010
1034	2561	l	1948
1035	1549	t	1916
1036	398	l	1976
1037	1087	t	1868
1038	138	t	1945
1039	286	r	1998
1040	3185	t	1869
1041	2850	r	1954
1042	846	l	1933
1043	1925	t	1981
1044	1522	l	1837
1045	1573	t	2007
1046	775	t	1953
1047	85	t	1915
1048	1960	r	1985
1049	508	r	1982
1050	2733	r	2004
1051	1423	r	1995
1052	688	t	1986
1053	2073	r	2013
1054	3093	l	1990
1055	685	t	1948
1056	568	l	1993
1057	2900	r	2019
1058	3058	l	1900
1059	1834	t	1939
1060	635	t	1925
1061	1850	r	1995
1062	1683	l	1921
1063	2525	l	1982
1064	3163	r	1889
1065	1398	l	1962
1066	1437	t	1834
1067	2615	r	1990
1068	674	l	1976
1069	2253	l	2013
1070	1103	k	1995
1071	1563	k	2001
1072	1708	l	1951
1073	1238	k	1995
1074	285	t	1831
1075	269	l	1967
1076	2694	l	2004
1077	3149	l	2001
1078	615	r	1880
1079	177	l	2007
1080	984	k	2007
1081	813	l	1892
1082	3161	l	1831
1083	2559	l	1831
1084	1125	l	2013
1085	1459	r	2004
1086	32	l	1834
1087	260	l	1863
1088	417	l	2004
1089	3219	t	1932
1090	894	l	2019
1091	853	l	1973
1092	3197	l	1831
1093	1306	t	1926
1094	3073	l	1837
1095	2946	l	2007
1096	1423	l	1987
1097	332	l	1940
1098	764	t	1884
1099	2077	l	1946
1100	2086	l	1859
1101	3225	t	1953
1102	1807	t	2010
1103	1272	r	1976
1104	778	l	1938
1105	1155	r	1951
1106	1811	l	1976
1107	1350	l	1953
1108	1999	t	1920
1109	2435	r	1987
1110	1016	r	1955
1111	1678	l	1861
1112	2380	l	1871
1113	2718	l	1945
1114	2863	r	1858
1115	2310	k	1990
1116	1638	r	1995
1117	2645	l	1832
1118	1724	r	1893
1119	539	l	2001
1120	1670	r	1987
1121	2813	t	1933
1122	2928	k	1953
1123	2791	t	1923
1124	2906	t	1865
1125	1065	t	1863
1126	2980	r	1973
1127	2685	l	2004
1128	2679	t	1858
1129	191	l	1864
1130	617	r	1985
1131	1095	k	1990
1132	1149	l	1932
1133	2466	r	1993
1134	1178	l	1967
1135	1174	t	1858
1136	150	l	1948
1137	2303	l	1928
1138	486	l	1843
1139	3090	l	1985
1140	828	t	2001
1141	1048	l	1911
1142	1489	r	2004
1143	3183	l	1883
1144	2935	l	1859
1145	2438	t	1888
1146	1829	l	1990
1147	1061	k	2001
1148	2060	r	1976
1149	589	t	1876
1150	2864	t	1859
1151	107	l	2001
1152	1890	k	1998
1153	1117	r	1946
1154	870	r	1830
1155	1223	r	1979
1156	2885	l	1894
1157	237	r	1903
1158	441	l	1998
1159	2350	l	1940
1160	324	l	2016
1161	134	l	1914
1162	970	l	1861
1163	68	l	2010
1164	720	l	1883
1165	2903	t	1986
1166	966	t	1986
1167	2722	t	1983
1168	81	l	1948
1169	342	t	1889
1170	1644	r	1967
1171	2982	k	1995
1172	1782	l	2019
1173	2033	l	1928
1174	2222	k	1990
1175	27	r	1949
1176	1921	t	1935
1177	199	l	1990
1178	1317	l	1949
1179	799	t	1986
1180	3207	l	1990
1181	1070	l	1876
1182	1763	k	2001
1183	2711	r	1967
1184	1516	t	1858
1185	2587	t	2004
1186	327	t	1846
1187	439	l	1938
1188	1730	l	1941
1189	1732	t	1922
1190	2237	r	1893
1191	1958	l	1875
1192	2486	t	1998
1193	1794	l	1832
1194	160	r	1987
1195	1759	l	1900
1196	714	l	1990
1197	245	l	1943
1198	577	r	1938
1199	3226	l	1910
1200	71	l	1987
1201	834	t	1908
1202	2066	t	1986
1203	2626	t	1913
1204	159	t	1858
1205	2021	k	2016
1206	1375	l	1990
1207	2814	l	1965
1208	370	l	1973
1209	2203	l	1945
1210	1560	k	1995
1211	2906	l	1861
1212	1169	t	2004
1213	201	l	1951
1214	1142	k	1995
1215	1482	k	1876
1216	144	r	2004
1217	1491	l	1906
1218	1411	l	2004
1219	2058	t	1907
1220	2654	r	1995
1221	860	l	1967
1222	1936	l	1949
1223	1793	t	1998
1224	2239	r	2016
1225	1712	r	2016
1226	2111	k	2016
1227	2546	r	2019
1228	2038	k	2001
1229	576	r	2007
1230	1618	t	2007
1231	1015	l	1987
1232	2479	r	1831
1233	126	t	1986
1234	2647	k	1995
1235	1797	l	1923
1236	194	l	1995
1237	3195	l	2016
1238	1986	l	1869
1239	3044	t	1953
1240	845	r	1965
1241	2445	l	1911
1242	3170	t	1858
1243	2534	t	1983
1244	2780	r	1936
1245	1474	k	1998
1246	2825	t	1936
1247	2925	k	1995
1248	865	t	2016
1249	922	r	1998
1250	1380	l	1839
1251	2920	l	2010
1252	1353	t	1990
1253	2738	r	1938
1254	425	l	1909
1255	1062	r	1915
1256	1813	t	2013
1257	1826	r	1880
1258	1852	l	2010
1259	240	t	1953
1260	2372	r	1912
1261	1257	l	1946
1262	3227	t	1970
1263	1499	l	1941
1264	1901	t	1946
1265	1919	r	1947
1266	334	l	1932
1267	2807	t	1939
1268	1553	t	1988
1269	2480	r	1973
1270	2646	k	2010
1271	2752	l	1946
1272	2040	l	1897
1273	1886	t	1960
1274	968	r	2019
1275	1623	l	1965
1276	1421	l	1998
1277	1657	r	1976
1278	373	t	1906
1279	1454	r	2007
1280	2547	l	1847
1281	1361	r	1935
1282	901	l	2004
1283	1721	l	1937
1284	2887	l	1910
1285	1655	l	1998
1286	2823	t	1976
1287	3000	t	2001
1288	1409	l	1834
1289	2902	t	1925
1290	1382	l	1891
1291	710	r	1956
1292	626	r	1995
1293	1930	l	1918
1294	2364	r	1832
1295	1172	r	1934
1296	1781	t	2001
1297	2083	t	1990
1298	1628	t	1872
1299	2071	t	1942
1300	1871	l	1998
1301	3049	l	1946
1302	3229	l	1949
1303	2556	t	1955
1304	571	t	1995
1305	1330	l	2019
1306	978	l	1987
1307	360	l	1835
1308	2293	l	1892
1309	2774	l	1964
1310	1713	r	1900
1311	2538	l	1867
1312	1055	t	1953
1313	2485	l	1832
1314	2439	k	2007
1315	2389	l	2013
1316	1194	r	1860
1317	2298	t	1937
1318	676	l	1858
1319	603	l	2010
1320	796	l	1839
1321	2685	r	2010
1322	987	r	2004
1323	2663	r	1943
1324	1504	t	1875
1325	3062	l	1973
1326	379	l	1926
1327	2947	l	1998
1328	2824	l	2019
1329	2686	k	2010
1330	854	t	1894
1331	3	t	1979
1332	767	l	1990
1333	2602	l	2001
1334	3081	t	2010
1335	402	t	1981
1336	1623	r	1973
1337	244	r	1990
1338	1740	t	1867
1339	2995	t	2007
1340	731	r	1929
1341	2947	r	2004
1342	3141	t	2019
1343	2162	t	2010
1344	535	l	1982
1345	2701	r	1923
1346	2078	t	1964
1347	441	r	2004
1348	2695	r	1982
1349	438	l	2001
1350	2707	l	1945
1351	947	r	1926
1352	947	l	1915
1353	2028	l	1979
1354	2829	l	1943
1355	319	r	2004
1356	1382	r	1900
1357	3174	t	2010
1358	1974	l	1987
1359	573	t	1859
1360	2320	l	1945
1361	140	l	1945
1362	1408	t	1986
1363	1141	l	1982
1364	1076	r	1987
1365	2451	l	1879
1366	2719	l	1865
1367	174	t	1893
1368	651	l	1884
1369	2772	t	1983
1370	2548	l	1938
1371	3180	t	1858
1372	317	l	1954
1373	1310	r	1993
1374	1288	l	1899
1375	554	t	1988
1376	2835	r	2001
1377	3082	t	1915
1378	1295	l	1859
1379	2968	t	1976
1380	505	l	1925
1381	60	t	1922
1382	113	l	1995
1383	1966	l	1840
1384	1980	t	1831
1385	1035	k	2001
1386	3034	l	2001
1387	405	l	1928
1388	613	t	1833
1389	2990	l	1990
1390	2464	t	1967
1391	155	l	1881
1392	2976	k	2004
1393	3220	r	1910
1394	246	l	1936
1395	620	l	1951
1396	421	t	1872
1397	2717	r	1830
1398	2040	r	1924
1399	989	l	2007
1400	1362	l	1993
