id	megnevezes	kezdet	veg
180	Soyuz TM-16	1993.01.24	1993.07.22
181	Soyuz 14	1974.07.03	1974.07.19
182	Soyuz 6	1969.10.11	1969.10.16
183	STS-45	1992.03.24	1992.04.02
184	Soyuz TM-32	2001.04.28	2001.10.31
185	Soyuz TMA-16	2009.09.30	2010.03.18
186	Soyuz TM-9	1990.02.11	1990.08.09
187	Soyuz TM-23	1996.02.21	1996.09.02
188	Soyuz 39	1981.03.22	1981.03.30
189	STS-81	1997.01.12	1997.01.22
190	Soyuz T-15	1986.03.13	1986.07.16
191	Soyuz TMA-16M	2015.03.27	2015.09.12
192	Soyuz TM-5	1988.06.07	1988.09.07
193	STS-5	1982.11.11	1982.11.16
194	Soyuz TMA-09M	2013.05.29	2013.11.11
195	Apollo 16	1972.04.16	1972.04.27
196	STS-117	2007.06.08	2007.06.22
197	STS-113	2002.11.23	2002.12.07
198	Soyuz T-9	1983.06.27	1983.11.23
199	Soyuz TMA-03M	2011.12.21	2012.07.01
200	STS-29	1989.03.13	1989.03.18
201	Soyuz TMA-4	2004.04.19	2004.10.24
202	STS-51-G	1985.06.17	1985.06.24
203	Soyuz TM-22	1995.09.03	1996.02.29
204	Soyuz T-5	1982.05.13	1982.08.27
205	Soyuz MS-06	2017.09.12	2018.02.28
206	Gemini 9A	1966.06.03	1966.06.06
207	STS-112	2002.10.07	2002.10.18
208	STS-1	1981.04.12	1981.04.14
209	Apollo 14	1971.01.31	1971.02.09
210	Soyuz TM-31	2000.10.31	2001.05.06
211	Soyuz TM-12	1991.05.18	1991.10.10
212	STS-56	1993.04.08	1993.04.17
213	Soyuz TM-21	1995.03.14	1995.09.01
214	Soyuz TM-4	1987.12.21	1988.06.17
215	STS-68	1994.09.30	1994.10.11
216	STS-129	2009.11.16	2009.11.27
217	Soyuz TMA-3	2003.10.18	2004.04.30
218	STS-119	2009.03.15	2009.03.28
219	Apollo 9	1969.03.03	1969.03.13
220	Soyuz 16	1974.12.02	1974.12.08
221	STS-130	2010.02.08	2010.02.21
222	Soyuz TMA-06M	2012.10.23	2013.03.16
223	Soyuz T-3	1980.11.27	1980.12.10
224	Soyuz TM-2	1987.02.05	1987.07.30
225	STS-48	1991.09.12	1991.09.18
226	Vostok 4	1962.08.12	1962.08.15
227	STS-80	1996.11.19	1996.12.07
228	Soyuz 22	1976.09.15	1976.09.23
229	Soyuz TM-34	2002.04.25	2002.11.10
230	STS-51-L	1986.01.28	1986.02.03
231	Soyuz 37	1980.07.23	1980.10.11
232	Soyuz 30	1978.06.27	1978.07.05
233	STS-69	1995.09.07	1995.09.18
234	X-15 flight 90	1963.06.19	1963.06.19
235	STS-4	1982.06.27	1982.07.04
236	STS-52	1992.10.22	1992.11.01
237	Vostok 2	1961.08.06	1961.08.07
238	Voskhod 1	1964.10.12	1964.10.13
239	STS-120	2007.10.23	2007.11.07
240	STS-51-J	1985.10.03	1985.10.07
241	Soyuz 31	1978.08.26	1978.11.02
242	Mercury-Atlas 9	1963.05.15	1963.05.16
243	Soyuz TMA-5	2004.10.14	2005.04.24
244	Gemini 5	1965.08.21	1965.08.29
245	Gemini 11	1966.09.12	1966.09.15
246	STS-73	1995.10.20	1995.11.05
247	Soyuz TMA-9	2006.09.18	2007.04.21
248	Soyuz 19	1975.07.15	1975.07.21
249	Soyuz T-7	1982.08.19	1982.12.10
250	Soyuz 18	1975.05.24	1975.07.26
251	Soyuz TMA-12M	2014.03.26	2014.09.11
252	Soyuz TM-14	1992.03.17	1992.08.10
253	Soyuz 3	1968.10.26	1968.10.30
254	Soyuz TM-24	1996.08.17	1997.03.02
255	Soyuz 12	1973.09.27	1973.09.29
256	Soyuz TMA-19	2010.06.16	2010.11.26
257	STS-37	1991.04.05	1991.04.11
258	STS-51-A	1984.11.08	1984.11.16
259	STS-38	1990.11.15	1990.11.20
260	Soyuz TM-3	1987.07.22	1987.12.29
261	Soyuz TMA-10M	2013.09.26	2014.03.11
262	Soyuz TMA-17M	2015.07.23	2015.12.11
263	Gemini 8	1966.03.16	1966.03.17
264	Soyuz TMA-19M	2015.12.15	2016.06.18
265	Soyuz MS-01	2016.07.07	2016.10.30
266	Mercury-Atlas 6	1962.02.20	1962.02.20
267	STS-3	1982.03.22	1982.03.30
268	STS-98	2001.02.07	2001.02.20
269	Soyuz 8	1969.10.13	1969.10.18
270	Vostok 6	1963.06.16	1963.06.19
271	Gemini 4	1965.06.03	1965.06.07
272	STS-6	1983.04.04	1983.04.09
274	X-15 flight 91	1963.08.22	1963.08.22
275	STS-64	1994.09.09	1994.09.20
276	Soyuz T-13	1985.06.06	1986.09.26
277	Soyuz 38	1980.09.18	1980.09.26
278	Soyuz T-14	1985.09.17	1985.11.21
279	Gemini 3	1965.03.23	1965.03.23
280	Soyuz TM-6	1988.08.29	1988.12.21
281	STS-51	1993.09.12	1993.09.22
282	Soyuz TMA-14	2009.03.26	2009.10.11
283	Soyuz TM-29	1999.02.20	1999.08.28
284	Soyuz TMA-07M	2012.12.19	2013.05.14
285	Soyuz TM-19	1994.07.01	1994.11.04
286	Soyuz T-2	1980.06.05	1980.06.09
287	Soyuz TM-13	1991.10.02	1992.03.25
288	STS-32	1990.01.09	1990.01.20
289	Soyuz 40	1981.05.14	1981.05.22
290	Mercury-Redstone 3	1961.05.05	1961.05.05
291	STS-2	1981.11.12	1981.11.14
292	Soyuz TM-18	1994.01.08	1994.07.09
293	Gemini 6A	1965.12.15	1965.12.16
294	Shenzhou 5	2003.10.15	2003.10.15
295	Soyuz 28	1978.03.02	1978.03.10
296	Gemini 10	1966.07.18	1966.07.21
297	Soyuz TM-20	1994.10.04	1995.03.22
298	Soyuz 13	1973.12.18	1973.12.26
299	Soyuz 36	1980.05.26	1980.07.31
300	Soyuz 33	1979.04.10	1979.04.12
301	Soyuz TM-11	1990.12.02	1991.05.26
302	Soyuz TMA-21	2011.04.05	2011.09.16
303	Soyuz 23	1976.10.14	1976.10.16
304	Soyuz 32	1979.02.25	1979.06.13
305	Soyuz T-4	1981.03.12	1981.05.26
306	Mercury-Atlas 8	1962.10.03	1962.10.03
307	Soyuz 35	1980.04.09	1980.06.03
308	Soyuz MS-07	2017.12.17	2018.06.03
309	SpaceShipOne flight 16P	2004.09.29	2004.09.29
310	Soyuz 27	1978.01.10	1978.03.16
311	Soyuz 25	1977.10.09	1977.10.11
312	Soyuz 26	1977.12.10	1978.01.16
313	Soyuz TM-10	1990.08.01	1990.12.10
314	Soyuz 17	1975.01.10	1975.02.09
315	Soyuz TM-28	1998.08.13	1999.02.28
316	Soyuz 21	1976.07.06	1976.08.24
317	SpaceShipOne flight 15P	2004.06.21	2004.06.21
318	Mercury-Atlas 7	1962.05.24	1962.05.24
319	Mercury-Redstone 4	1961.07.21	1961.07.21
320	Soyuz 1	1967.04.23	1967.04.24
321	Gemini 7	1965.12.04	1965.12.18
322	Vostok 3	1962.08.11	1962.08.15
